,建物名,レンタルタイプ,住所,立地1,立地2,立地3,築年数,建物高さ,階,賃料,管理費,"敷/礼/保証/敷引,償却",間取り,専有面積
5159,都営大江戸線 牛込柳町駅 11階建 築7年,賃貸マンション,東京都新宿区原町２,都営大江戸線/牛込柳町駅 歩2分,都営新宿線/曙橋駅 歩13分,東京メトロ東西線/神楽坂駅 歩15分,築7年,11階建,2階,9.3万円,5000円,9.3万円/9.3万円/-/9.3万円,1K,25.68m
5160,都営大江戸線 牛込柳町駅 11階建 築7年,賃貸マンション,東京都新宿区原町２,都営大江戸線/牛込柳町駅 歩2分,都営新宿線/曙橋駅 歩13分,東京メトロ東西線/神楽坂駅 歩15分,築7年,11階建,7階,9.8万円,5000円,9.8万円/9.8万円/-/-,1K,25.68m
5161,ＪＲ山手線 高田馬場駅 9階建 築13年,賃貸マンション,東京都新宿区高田馬場３,ＪＲ山手線/高田馬場駅 歩7分,西武新宿線/下落合駅 歩6分,東京メトロ副都心線/西早稲田駅 歩19分,築13年,9階建,2階,9.2万円,6000円,9.2万円/9.2万円/-/-,1K,25.49m
5162,ペガサス,賃貸マンション,東京都新宿区高田馬場３,ＪＲ山手線/高田馬場駅 歩7分,西武新宿線/下落合駅 歩6分,東京メトロ東西線/落合駅 歩15分,築13年,9階建,2階,9.2万円,6000円,9.2万円/9.2万円/-/-,1K,25.49m
5163,ラグジュアリーアパートメント西新宿,賃貸マンション,東京都新宿区西新宿４,都営大江戸線/西新宿五丁目駅 歩2分,都営大江戸線/都庁前駅 歩13分,京王新線/初台駅 歩14分,築14年,6階建,1階,9万円,8000円,9万円/9万円/-/-,1K,25.2m
5164,ラグジュアリーアパートメント西新宿,賃貸マンション,東京都新宿区西新宿４,都営大江戸線/西新宿五丁目駅 歩2分,都営大江戸線/都庁前駅 歩13分,京王新線/初台駅 歩14分,築14年,6階建,1階,9万円,8000円,9万円/9万円/-/-,1K,25.2m
5165,ラグジュアリーアパートメント西新宿,賃貸マンション,東京都新宿区西新宿４,都営大江戸線/西新宿五丁目駅 歩2分,都営大江戸線/都庁前駅 歩13分,京王新線/初台駅 歩14分,築14年,6階建,3階,9.2万円,7000円,9.2万円/9.2万円/-/-,1K,25.2m
5166,ラグジュアリーアパートメント西新宿,賃貸マンション,東京都新宿区西新宿４,都営大江戸線/西新宿五丁目駅 歩2分,都営大江戸線/都庁前駅 歩13分,京王新線/初台駅 歩14分,築14年,6階建,1階,9万円,10000円,-/9万円/-/-,1K,25.2m
5167,ラグジュアリーアパートメント西新宿,賃貸マンション,東京都新宿区西新宿４,都営大江戸線/西新宿五丁目駅 歩2分,都営大江戸線/都庁前駅 歩13分,京王新線/初台駅 歩14分,築14年,6階建,2階,10.3万円,10500円,-/10.3万円/-/-,1K,25.2m
5168,都営大江戸線 西新宿五丁目駅 6階建 築14年,賃貸マンション,東京都新宿区西新宿４,都営大江戸線/西新宿五丁目駅 歩2分,京王新線/初台駅 歩13分,小田急線/参宮橋駅 歩20分,築14年,6階建,1階,9万円,8000円,9万円/9万円/-/-,1K,25.2m
5169,都営大江戸線 西新宿五丁目駅 6階建 築14年,賃貸マンション,東京都新宿区西新宿４,都営大江戸線/西新宿五丁目駅 歩2分,京王新線/初台駅 歩13分,小田急線/参宮橋駅 歩20分,築14年,6階建,1階,9万円,10000円,9万円/9万円/-/-,1K,25.2m
5170,都営大江戸線 西新宿五丁目駅 6階建 築14年,賃貸マンション,東京都新宿区西新宿４,都営大江戸線/西新宿五丁目駅 歩2分,京王新線/初台駅 歩13分,小田急線/参宮橋駅 歩20分,築14年,6階建,4階,9.5万円,7000円,9.5万円/9.5万円/-/-,1K,25.2m
5171,ヴェルト新宿EAST,賃貸マンション,東京都新宿区大久保１,ＪＲ山手線/新宿駅 歩12分,都営大江戸線/東新宿駅 歩2分,ＪＲ山手線/新大久保駅 歩7分,築14年,14階建,3階,9万円,8000円,9万円/9万円/-/-,1K,22.34m
5172,ヴェルト新宿EAST,賃貸マンション,東京都新宿区大久保１,ＪＲ山手線/新宿駅 歩12分,都営大江戸線/東新宿駅 歩2分,ＪＲ山手線/新大久保駅 歩7分,築14年,14階建,11階,9.5万円,10000円,9.5万円/9.5万円/-/-,1K,19.9m
5173,ヴェルト新宿EAST,賃貸マンション,東京都新宿区大久保１,ＪＲ山手線/新宿駅 歩12分,都営大江戸線/東新宿駅 歩2分,ＪＲ山手線/新大久保駅 歩7分,築14年,14階建,2階,9.7万円,10500円,-/9.7万円/-/-,1K,23.52m
5174,ヴェルト新宿EAST,賃貸マンション,東京都新宿区大久保１,ＪＲ山手線/新宿駅 歩12分,都営大江戸線/東新宿駅 歩2分,ＪＲ山手線/新大久保駅 歩7分,築14年,14階建,6階,10万円,10500円,-/10万円/-/-,1K,21.41m
5175,都営新宿線 曙橋駅 地下1地上12階建 築14年,賃貸マンション,東京都新宿区市谷仲之町,都営新宿線/曙橋駅 歩4分,東京メトロ丸ノ内線/四谷三丁目駅 歩12分,ＪＲ総武線/四ツ谷駅 歩19分,築14年,地下1地上12階建,4階,8.6万円,12000円,-/8.6万円/-/-,1K,23.4m
5176,都営新宿線 曙橋駅 地下1地上12階建 築14年,賃貸マンション,東京都新宿区市谷仲之町,都営新宿線/曙橋駅 歩4分,東京メトロ丸ノ内線/四谷三丁目駅 歩12分,ＪＲ総武線/四ツ谷駅 歩19分,築14年,地下1地上12階建,5階,8.65万円,12000円,-/8.65万円/-/-,1K,23.4m
5177,アヴァンツァーレ新宿ピアチェーレ,賃貸マンション,東京都新宿区西新宿８,東京メトロ丸ノ内線/西新宿駅 歩5分,ＪＲ中央線/大久保駅 歩10分,都営大江戸線/新宿西口駅 歩13分,築15年,10階建,5階,8.6万円,12000円,-/8.6万円/-/-,ワンルーム,23.16m
5178,東京メトロ丸ノ内線 西新宿駅 10階建 築14年,賃貸マンション,東京都新宿区西新宿８,東京メトロ丸ノ内線/西新宿駅 歩5分,ＪＲ中央線/大久保駅 歩8分,西武新宿線/西武新宿駅 歩10分,築14年,10階建,5階,8.6万円,12000円,-/8.6万円/-/-,ワンルーム,23.16m
5179,ヴェルト新宿イースト,賃貸マンション,東京都新宿区大久保１,東京メトロ副都心線/東新宿駅 歩2分,ＪＲ山手線/新大久保駅 歩9分,西武新宿線/西武新宿駅 歩10分,築14年,14階建,3階,9.2万円,6000円,9.2万円/9.2万円/-/-,1K,22.34m
5180,アイレジデンス,賃貸マンション,東京都新宿区大久保１,都営大江戸線/東新宿駅 歩3分,ＪＲ山手線/新大久保駅 歩8分,西武新宿線/西武新宿駅 歩12分,築7年,3階建,1階,9.5万円,3000円,9.5万円/9.5万円/-/-,1K,21.36m
5181,都営大江戸線 東新宿駅 3階建 築7年,賃貸マンション,東京都新宿区大久保１,都営大江戸線/東新宿駅 歩3分,ＪＲ山手線/新大久保駅 歩7分,東京メトロ副都心線/東新宿駅 歩7分,築7年,3階建,3階,9.5万円,3000円,9.5万円/9.5万円/-/-,1K,21.36m
5182,東京メトロ有楽町線 江戸川橋駅 11階建 築10年,賃貸マンション,東京都新宿区山吹町,東京メトロ有楽町線/江戸川橋駅 歩4分,東京メトロ東西線/神楽坂駅 歩9分,東京メトロ東西線/早稲田駅 歩11分,築10年,11階建,9階,8.8万円,10000円,-/-/-/-,ワンルーム,21.01m
5183,ナビウス西新宿,賃貸マンション,東京都新宿区西新宿８,東京メトロ丸ノ内線/西新宿駅 歩4分,都営大江戸線/中野坂上駅 歩11分,ＪＲ山手線/新宿駅 歩12分,築15年,11階建,4階,9万円,8000円,9万円/9万円/-/-,1K,20.74m
5184,東京メトロ丸ノ内線 西新宿駅 11階建 築15年,賃貸マンション,東京都新宿区西新宿８,東京メトロ丸ノ内線/西新宿駅 歩4分,都営大江戸線/中野坂上駅 歩11分,ＪＲ山手線/新宿駅 歩12分,築15年,11階建,4階,9万円,8000円,9万円/9万円/-/-,1K,20.74m
5185,都営大江戸線 西新宿五丁目駅 地下1地上3階建 築12年,賃貸マンション,東京都新宿区西新宿４,都営大江戸線/西新宿五丁目駅 歩2分,京王新線/初台駅 歩11分,東京メトロ丸ノ内線/西新宿駅 歩12分,築12年,地下1地上3階建,3階,8.8万円,10000円,8.8万円/-/-/-,1K,18.09m
5186,西武池袋線 椎名町駅 9階建 築11年,賃貸マンション,東京都新宿区下落合４,西武池袋線/椎名町駅 歩9分,西武新宿線/下落合駅 歩10分,ＪＲ山手線/目白駅 歩14分,築11年,9階建,9階,8.9万円,9500円,-/8.9万円/-/-,1K,26.11m
5187,ル・リオン神楽坂,賃貸マンション,東京都新宿区山吹町,東京メトロ東西線/神楽坂駅 歩7分,東京メトロ有楽町線/江戸川橋駅 歩5分,東京メトロ東西線/早稲田駅 歩10分,築7年,8階建,6階,8.85万円,10000円,-/-/8.85万円/-,1K,25.45m
5188,ル・リオン神楽坂,賃貸マンション,東京都新宿区山吹町,東京メトロ東西線/神楽坂駅 歩7分,東京メトロ有楽町線/江戸川橋駅 歩5分,東京メトロ東西線/早稲田駅 歩10分,築7年,8階建,6階,8.95万円,10000円,-/-/8.95万円/8.95万円,1K,25.45m
5189,ル・リオン神楽坂,賃貸マンション,東京都新宿区山吹町,東京メトロ東西線/神楽坂駅 歩7分,東京メトロ有楽町線/江戸川橋駅 歩5分,東京メトロ東西線/早稲田駅 歩10分,築7年,8階建,6階,9.05万円,10000円,-/-/9.05万円/9.05万円,1K,25.45m
5190,メインステージ市ヶ谷曙橋,賃貸マンション,東京都新宿区市谷仲之町,東京メトロ丸ノ内線/四谷三丁目駅 歩12分,都営新宿線/曙橋駅 歩4分,都営大江戸線/牛込柳町駅 歩6分,築14年,12階建,5階,8.65万円,12000円,-/8.65万円/-/-,1K,23.4m
5191,フェニックス新宿7丁目,賃貸マンション,東京都新宿区新宿７,都営大江戸線/東新宿駅 歩3分,都営新宿線/新宿三丁目駅 歩12分,東京メトロ丸ノ内線/新宿御苑前駅 歩12分,築20年,10階建,7階,8.8万円,10500円,-/8.8万円/-/-,1K,23.19m
5192,都営大江戸線 東新宿駅 10階建 築20年,賃貸マンション,東京都新宿区新宿７,都営大江戸線/東新宿駅 歩3分,都営新宿線/新宿三丁目駅 歩12分,東京メトロ丸ノ内線/新宿御苑前駅 歩12分,築20年,10階建,7階,8.8万円,10500円,-/8.8万円/-/-,1K,23.19m
