,建物名,レンタルタイプ,住所,立地1,立地2,立地3,築年数,建物高さ,階,賃料,管理費,"敷/礼/保証/敷引,償却",間取り,専有面積
407,サンテミリオン芝公園,賃貸マンション,東京都港区芝２,ＪＲ山手線/浜松町駅 歩8分,都営三田線/芝公園駅 歩5分,都営浅草線/大門駅 歩8分,築16年,9階建,5階,10.2万円,10500円,-/10.2万円/-/-,1K,21.87m
408,サンテミリオン芝公園,賃貸マンション,東京都港区芝２,ＪＲ山手線/浜松町駅 歩8分,都営三田線/芝公園駅 歩5分,都営浅草線/大門駅 歩8分,築16年,9階建,3階,10.6万円,8000円,-/10.6万円/-/-,1K,21.38m
409,サンテミリオン芝公園,賃貸マンション,東京都港区芝２,ＪＲ山手線/浜松町駅 歩8分,都営三田線/芝公園駅 歩5分,都営浅草線/大門駅 歩8分,築16年,9階建,3階,10.6万円,10500円,-/10.6万円/-/-,1K,21.38m
410,ＪＲ山手線 浜松町駅 9階建 築16年,賃貸マンション,東京都港区芝２,ＪＲ山手線/浜松町駅 歩8分,都営三田線/芝公園駅 歩5分,都営浅草線/大門駅 歩8分,築16年,9階建,1階,8.4万円,-,8.4万円/8.4万円/-/8.4万円,1K,21.52m
411,ＪＲ山手線 浜松町駅 9階建 築16年,賃貸マンション,東京都港区芝２,ＪＲ山手線/浜松町駅 歩8分,都営三田線/芝公園駅 歩5分,都営浅草線/大門駅 歩8分,築16年,9階建,2階,7.9万円,9000円,7.9万円/7.9万円/-/-,1K,20.47m
412,ＪＲ山手線 浜松町駅 9階建 築16年,賃貸マンション,東京都港区芝２,ＪＲ山手線/浜松町駅 歩8分,都営三田線/芝公園駅 歩5分,都営浅草線/大門駅 歩8分,築16年,9階建,5階,9.7万円,10500円,-/9.7万円/-/-,1K,21.87m
413,バルミー六本木,賃貸マンション,東京都港区六本木７,東京メトロ千代田線/乃木坂駅 歩3分,東京メトロ日比谷線/六本木駅 歩3分,東京メトロ銀座線/青山一丁目駅 歩14分,築40年,5階建,3階,8.4万円,-,8.4万円/8.4万円/-/-,ワンルーム,21.71m
414,ブランシェ高輪,賃貸マンション,東京都港区高輪３,都営浅草線/高輪台駅 歩4分,ＪＲ山手線/品川駅 歩18分,東京メトロ南北線/白金台駅 歩13分,築22年,3階建,1階,8.1万円,3000円,8.1万円/8.1万円/-/-,1K,20.32m
415,ブランシェ高輪,賃貸マンション,東京都港区高輪３,都営浅草線/高輪台駅 歩4分,ＪＲ山手線/品川駅 歩18分,東京メトロ南北線/白金台駅 歩13分,築22年,3階建,2階,8.2万円,3000円,8.2万円/8.2万円/-/-,1K,20.32m
416,都営浅草線 高輪台駅 地下1地上3階建 築22年,賃貸マンション,東京都港区高輪３,都営浅草線/高輪台駅 歩4分,ＪＲ山手線/品川駅 歩10分,東京メトロ南北線/白金台駅 歩15分,築22年,地下1地上3階建,1階,8.1万円,3000円,8.1万円/8.1万円/-/-,1K,20.32m
417,都営浅草線 高輪台駅 地下1地上3階建 築22年,賃貸マンション,東京都港区高輪３,都営浅草線/高輪台駅 歩4分,ＪＲ山手線/品川駅 歩10分,東京メトロ南北線/白金台駅 歩15分,築22年,地下1地上3階建,2階,8.2万円,3000円,8.2万円/8.2万円/-/-,1K,20.32m
418,フレンドリー白金,賃貸マンション,東京都港区白金１,都営三田線/白金高輪駅 歩4分,東京メトロ南北線/麻布十番駅 歩14分,東京メトロ日比谷線/広尾駅 歩15分,築30年,5階建,4階,7.6万円,8000円,7.6万円/7.6万円/-/-,ワンルーム,20.09m
419,東京メトロ南北線 白金高輪駅 5階建 築30年,賃貸マンション,東京都港区白金１,東京メトロ南北線/白金高輪駅 歩4分,東京メトロ南北線/麻布十番駅 歩13分,東京メトロ日比谷線/広尾駅 歩17分,築30年,5階建,4階,7.6万円,8000円,7.6万円/7.6万円/-/-,ワンルーム,20.09m
420,シーサイドヴィラ,賃貸マンション,東京都港区海岸１,ＪＲ山手線/浜松町駅 歩6分,都営浅草線/大門駅 歩7分,都営大江戸線/汐留駅 歩10分,築39年,6階建,4階,7.6万円,8000円,7.6万円/7.6万円/-/-,1K,20.01m
421,ＪＲ山手線 浜松町駅 6階建 築39年,賃貸マンション,東京都港区海岸１,ＪＲ山手線/浜松町駅 歩6分,都営大江戸線/汐留駅 歩7分,都営浅草線/大門駅 歩7分,築39年,6階建,4階,7.6万円,8000円,7.6万円/7.6万円/-/-,1K,20.01m
422,アビテ白金,賃貸マンション,東京都港区白金３,東京メトロ日比谷線/広尾駅 歩12分,東京メトロ南北線/白金高輪駅 歩12分,ＪＲ山手線/恵比寿駅 歩24分,築14年,5階建,3階,8.1万円,3000円,4.05万円/8.1万円/-/-,1K,19.38m
423,東京メトロ南北線 白金高輪駅 5階建 築14年,賃貸マンション,東京都港区白金３,東京メトロ南北線/白金高輪駅 歩8分,東京メトロ日比谷線/広尾駅 歩12分,東京メトロ南北線/白金台駅 歩12分,築14年,5階建,3階,8.1万円,3000円,4.05万円/8.1万円/-/-,1K,19.32m
424,東京メトロ南北線 白金高輪駅 5階建 築14年,賃貸マンション,東京都港区白金３,東京メトロ南北線/白金高輪駅 歩8分,東京メトロ日比谷線/広尾駅 歩12分,東京メトロ南北線/白金台駅 歩12分,築14年,5階建,3階,8.1万円,3000円,4.05万円/8.1万円/-/-,1K,19.38m
425,都営バス（都06） 古川橋 7階建 築21年,賃貸マンション,東京都港区南麻布２,都営バス（都06）/古川橋 歩2分,東京メトロ南北線/白金高輪駅 歩4分,東京メトロ南北線/麻布十番駅 歩8分,築21年,7階建,2階,7.7万円,7000円,7.7万円/7.7万円/-/-,1K,18.48m
426,東京メトロ日比谷線 広尾駅 4階建 築28年,賃貸マンション,東京都港区西麻布４,東京メトロ日比谷線/広尾駅 歩9分,都営大江戸線/六本木駅 歩19分,東京メトロ日比谷線/六本木駅 歩15分,築28年,4階建,1階,7.8万円,6000円,7.8万円/7.8万円/-/-,ワンルーム,17.45m
427,インペリアル広尾,賃貸マンション,東京都港区南麻布４,東京メトロ日比谷線/広尾駅 歩7分,東京メトロ南北線/白金高輪駅 歩15分,ＪＲ山手線/恵比寿駅 歩23分,築39年,8階建,1階,8.5万円,-,8.5万円/8.5万円/-/-,ワンルーム,25.11m
428,インペリアル広尾,賃貸マンション,東京都港区南麻布４,東京メトロ日比谷線/広尾駅 歩7分,東京メトロ南北線/白金高輪駅 歩15分,ＪＲ山手線/恵比寿駅 歩23分,築39年,8階建,2階,8.5万円,5000円,8.5万円/8.5万円/-/-,1DK,25.11m
429,インペリアル広尾,賃貸マンション,東京都港区南麻布４,東京メトロ日比谷線/広尾駅 歩7分,東京メトロ南北線/白金高輪駅 歩15分,ＪＲ山手線/恵比寿駅 歩23分,築39年,8階建,1階,16.9万円,6000円,16.9万円/16.9万円/-/-,1LDK,48.1m
430,インペリアル広尾,賃貸マンション,東京都港区南麻布４,東京メトロ日比谷線/広尾駅 歩7分,東京メトロ南北線/白金高輪駅 歩15分,ＪＲ山手線/恵比寿駅 歩23分,築39年,8階建,1階,16.9万円,6000円,16.9万円/16.9万円/-/-,1LDK,48.1m
431,インペリアル広尾,賃貸マンション,東京都港区南麻布４,東京メトロ日比谷線/広尾駅 歩7分,東京メトロ南北線/白金高輪駅 歩15分,ＪＲ山手線/恵比寿駅 歩23分,築39年,8階建,5階,18万円,-,36万円/18万円/-/-,2LDK,56.33m
432,城南晴荘,賃貸マンション,東京都港区高輪４,ＪＲ山手線/品川駅 歩8分,京急本線/北品川駅 歩11分,ＪＲ山手線/五反田駅 歩13分,築60年,4階建,2階,8.5万円,-,8.5万円/8.5万円/-/-,1DK,42m
433,城南晴荘,賃貸マンション,東京都港区高輪４,ＪＲ山手線/品川駅 歩8分,京急本線/北品川駅 歩11分,ＪＲ山手線/五反田駅 歩13分,築60年,4階建,2階,8.5万円,-,8.5万円/8.5万円/-/-,1DK,42m
434,ＪＲ山手線 品川駅 4階建 築60年,賃貸マンション,東京都港区高輪４,ＪＲ山手線/品川駅 歩8分,京急本線/北品川駅 歩12分,都営浅草線/高輪台駅 歩13分,築60年,4階建,2階,8.5万円,-,8.5万円/8.5万円/-/-,2DK,42m
435,ＪＲ山手線 品川駅 4階建 築60年,賃貸マンション,東京都港区高輪４,ＪＲ山手線/品川駅 歩8分,京急本線/北品川駅 歩12分,都営浅草線/高輪台駅 歩13分,築60年,4階建,2階,8.5万円,-,8.5万円/8.5万円/-/-,1DK,42m
436,ＪＲ山手線 品川駅 4階建 築60年,賃貸マンション,東京都港区高輪４,ＪＲ山手線/品川駅 歩8分,京急本線/北品川駅 歩8分,都営浅草線/高輪台駅 歩9分,築60年,4階建,2階,8.5万円,-,8.5万円/8.5万円/-/-,1DK,42m
437,東京メトロ日比谷線 広尾駅 8階建 築23年,賃貸マンション,東京都港区南麻布４,東京メトロ日比谷線/広尾駅 歩12分,東京メトロ南北線/白金高輪駅 歩12分,都営三田線/白金台駅 歩17分,築23年,8階建,1階,7.5万円,10000円,-/-/-/-,ワンルーム,18.38m
438,東京メトロ日比谷線 広尾駅 8階建 築23年,賃貸マンション,東京都港区南麻布４,東京メトロ日比谷線/広尾駅 歩12分,東京メトロ南北線/白金高輪駅 歩12分,都営三田線/白金台駅 歩17分,築23年,8階建,2階,17.3万円,15000円,17.3万円/17.3万円/-/-,1LDK,38.48m
439,インペリアル南麻布コート&サテライト,賃貸マンション,東京都港区南麻布４,東京メトロ日比谷線/広尾駅 歩12分,東京メトロ南北線/白金高輪駅 歩13分,東京メトロ南北線/麻布十番駅 歩17分,築22年,8階建,1階,7.5万円,10000円,-/-/-/-,ワンルーム,18.38m
440,インペリアル南麻布コート&サテライト,賃貸マンション,東京都港区南麻布４,東京メトロ日比谷線/広尾駅 歩12分,東京メトロ南北線/白金高輪駅 歩13分,東京メトロ南北線/麻布十番駅 歩17分,築22年,8階建,7階,8.5万円,-,8.5万円/8.5万円/-/-,ワンルーム,18.13m
441,インペリアル南麻布コート&サテライト,賃貸マンション,東京都港区南麻布４,東京メトロ日比谷線/広尾駅 歩12分,東京メトロ南北線/白金高輪駅 歩13分,東京メトロ南北線/麻布十番駅 歩17分,築22年,8階建,7階,8.5万円,-,8.5万円/8.5万円/-/-,ワンルーム,18.13m
442,インペリアル南麻布コート&サテライト,賃貸マンション,東京都港区南麻布４,東京メトロ日比谷線/広尾駅 歩12分,東京メトロ南北線/白金高輪駅 歩13分,東京メトロ南北線/麻布十番駅 歩17分,築22年,8階建,6階,7.6万円,13700円,7.6万円/7.6万円/-/-,ワンルーム,19.3m
443,インペリアル南麻布コート&サテライト,賃貸マンション,東京都港区南麻布４,東京メトロ日比谷線/広尾駅 歩12分,東京メトロ南北線/白金高輪駅 歩13分,東京メトロ南北線/麻布十番駅 歩17分,築22年,8階建,3階,10.3万円,-,-/10.3万円/-/-,ワンルーム,18.13m
444,インペリアル南麻布コート&サテライト,賃貸マンション,東京都港区南麻布４,東京メトロ日比谷線/広尾駅 歩12分,東京メトロ南北線/白金高輪駅 歩13分,東京メトロ南北線/麻布十番駅 歩17分,築22年,8階建,2階,17.3万円,15000円,17.3万円/17.3万円/-/-,1LDK,38.48m
445,サン高輪,賃貸マンション,東京都港区高輪２,京急本線/泉岳寺駅 歩4分,都営三田線/白金高輪駅 歩12分,都営浅草線/泉岳寺駅 歩4分,築30年,5階建,2階,8.5万円,-,17万円/8.5万円/-/-,1DK,26.07m
446,東京メトロ日比谷線 六本木駅 3階建 築40年,賃貸マンション,東京都港区西麻布３,東京メトロ日比谷線/六本木駅 歩8分,東京メトロ日比谷線/広尾駅 歩15分,東京メトロ千代田線/乃木坂駅 歩16分,築40年,3階建,1階,8.5万円,-,8.5万円/8.5万円/-/-,ワンルーム,25.5m
