,建物名,レンタルタイプ,住所,立地1,立地2,立地3,築年数,建物高さ,階,賃料,管理費,"敷/礼/保証/敷引,償却",間取り,専有面積
22,本橋ハウス,賃貸アパート,東京都北区東十条６,ＪＲ京浜東北線/東十条駅 歩10分,ＪＲ京浜東北線/赤羽駅 歩12分,ＪＲ埼京線/十条駅 歩20分,築55年,2階建,2階,3.25万円,-,3.25万円/3.25万円/-/-,1K,12m
23,小鳩荘,賃貸アパート,東京都北区田端１,ＪＲ山手線/田端駅 歩7分,ＪＲ山手線/西日暮里駅 歩9分,東京メトロ千代田線/千駄木駅 歩14分,築51年,2階建,2階,2.9万円,1500円,-/-/-/-,ワンルーム,10.01m
24,小鳩荘,賃貸アパート,東京都北区田端１,ＪＲ山手線/田端駅 歩7分,ＪＲ山手線/西日暮里駅 歩9分,東京メトロ千代田線/千駄木駅 歩14分,築51年,2階建,2階,2.9万円,1500円,-/-/-/-,ワンルーム,9.72m
25,ＪＲ高崎線 尾久駅 3階建 築43年,賃貸アパート,東京都北区昭和町１,ＪＲ高崎線/尾久駅 歩3分,ＪＲ京浜東北線/上中里駅 歩14分,ＪＲ山手線/田端駅 歩21分,築43年,3階建,3階,3.3万円,-,3.3万円/3.3万円/-/-,1K,13m
26,ＪＲ京浜東北線 王子駅 3階建 築39年,賃貸マンション,東京都北区豊島２,ＪＲ京浜東北線/王子駅 歩12分,都電荒川線/梶原駅 歩13分,都電荒川線/王子駅前駅 歩12分,築39年,3階建,3階,3.3万円,-,-/-/-/-,ワンルーム,5m
27,さくら荘,賃貸アパート,東京都北区志茂１,ＪＲ京浜東北線/赤羽駅 歩10分,東京メトロ南北線/志茂駅 歩5分,東京メトロ南北線/赤羽岩淵駅 歩13分,築47年,2階建,2階,3.3万円,500円,-/-/-/-,1K,16m
28,東京メトロ南北線 志茂駅 2階建 築47年,賃貸アパート,東京都北区志茂１,東京メトロ南北線/志茂駅 歩5分,ＪＲ京浜東北線/赤羽駅 歩9分,東京メトロ南北線/赤羽岩淵駅 歩16分,築47年,2階建,2階,3.3万円,500円,-/-/-/-,1K,16m
29,ひかり荘,賃貸アパート,東京都北区東十条３,ＪＲ京浜東北線/東十条駅 歩7分,東京メトロ南北線/王子神谷駅 歩8分,None,築47年,2階建,1階,3.3万円,500円,-/-/-/-,1K,14.3m
30,御代の台荘Ａ棟,賃貸アパート,東京都北区滝野川３,都営三田線/西巣鴨駅 歩8分,都営三田線/新板橋駅 歩9分,都電荒川線/滝野川一丁目駅 歩12分,築54年,2階建,2階,3.4万円,-,-/-/-/-,2K,23.2m
31,御代の台荘Ａ棟,賃貸アパート,東京都北区滝野川３,都営三田線/西巣鴨駅 歩8分,都営三田線/新板橋駅 歩9分,都電荒川線/滝野川一丁目駅 歩12分,築54年,2階建,2階,3.5万円,-,3.5万円/-/-/-,2K,14m
32,都営三田線 西巣鴨駅 2階建 築54年,賃貸アパート,東京都北区滝野川３,都営三田線/西巣鴨駅 歩7分,都営三田線/新板橋駅 歩9分,ＪＲ埼京線/板橋駅 歩10分,築54年,2階建,2階,3.4万円,-,-/-/-/-,2K,23.2m
33,渡辺荘,賃貸アパート,東京都北区堀船３,ＪＲ京浜東北線/上中里駅 歩12分,ＪＲ京浜東北線/王子駅 歩16分,東京メトロ南北線/王子駅 歩16分,築53年,2階建,1階,3.3万円,1000円,3.3万円/3.3万円/-/-,ワンルーム,13.51m
34,渡辺荘,賃貸アパート,東京都北区堀船３,ＪＲ京浜東北線/上中里駅 歩12分,ＪＲ京浜東北線/王子駅 歩16分,東京メトロ南北線/王子駅 歩16分,築53年,2階建,2階,3.4万円,1000円,3.4万円/3.4万円/-/-,ワンルーム,13.2m
35,駒村荘,賃貸アパート,東京都北区中十条２,ＪＲ埼京線/十条駅 歩3分,ＪＲ京浜東北線/東十条駅 歩7分,東京メトロ南北線/王子神谷駅 歩20分,築46年,2階建,1階,3.4万円,500円,-/1.7万円/-/-,ワンルーム,14m
36,ＪＲ京浜東北線 赤羽駅 2階建 築48年,賃貸一戸建て,東京都北区志茂３,ＪＲ京浜東北線/赤羽駅 歩16分,東京メトロ南北線/志茂駅 歩3分,ＪＲ埼京線/赤羽駅 歩16分,築48年,2階建,1-2階,3.5万円,-,3.5万円/3.5万円/-/-,2K,27m
37,荒井荘,賃貸アパート,東京都北区西ケ原４,東京メトロ南北線/西ヶ原駅 歩11分,ＪＲ京浜東北線/王子駅 歩12分,都電荒川線/滝野川一丁目駅 歩2分,築49年,2階建,2階,3.5万円,-,3.5万円/3.5万円/-/-,1K,21.5m
38,島村荘,賃貸アパート,東京都北区豊島７,東京メトロ南北線/王子神谷駅 歩12分,None,None,築58年,2階建,2階,3.5万円,-,3.5万円/7万円/-/-,1K,21m
39,恵荘,賃貸アパート,東京都北区東十条３,ＪＲ京浜東北線/東十条駅 歩3分,ＪＲ埼京線/十条駅 歩13分,東京メトロ南北線/王子神谷駅 歩12分,築45年,2階建,2階,3.5万円,-,3.5万円/-/-/-,1K,17.6m
40,原口荘,賃貸アパート,東京都北区豊島３,ＪＲ京浜東北線/王子駅 歩19分,東京メトロ南北線/王子神谷駅 歩13分,都営バス/豊島三丁目 歩5分,築45年,2階建,2階,3.5万円,-,3.5万円/3.5万円/-/-,1K,14.87m
41,稲垣荘,賃貸アパート,東京都北区志茂２,ＪＲ京浜東北線/赤羽駅 歩10分,東京メトロ南北線/志茂駅 歩4分,東京メトロ南北線/赤羽岩淵駅 歩10分,築55年,2階建,1階,3.3万円,2000円,-/-/-/-,ワンルーム,14.8m
