,建物名,レンタルタイプ,住所,立地1,立地2,立地3,築年数,建物高さ,階,賃料,管理費,"敷/礼/保証/敷引,償却",間取り,専有面積
2646,ＪＲ山手線 西日暮里駅 8階建 築23年,賃貸マンション,東京都荒川区西日暮里２,ＪＲ山手線/西日暮里駅 歩6分,ＪＲ山手線/日暮里駅 歩5分,京成本線/新三河島駅 歩13分,築23年,8階建,4階,9.4万円,5000円,9.4万円/9.4万円/-/-,2K,35.74m
2647,ＪＲ山手線 日暮里駅 5階建 築14年,賃貸マンション,東京都荒川区東日暮里５,ＪＲ山手線/日暮里駅 歩5分,東京メトロ千代田線/西日暮里駅 歩10分,ＪＲ常磐線/日暮里駅 歩5分,築14年,5階建,3階,9.4万円,5000円,9.4万円/9.4万円/-/-,ワンルーム,33.05m
2648,ＪＲ山手線 日暮里駅 5階建 築14年,賃貸マンション,東京都荒川区東日暮里５,ＪＲ山手線/日暮里駅 歩5分,東京メトロ千代田線/西日暮里駅 歩10分,ＪＲ常磐線/日暮里駅 歩5分,築14年,5階建,4階,9.5万円,5000円,9.5万円/9.5万円/-/-,ワンルーム,32.66m
2649,欅,賃貸マンション,東京都荒川区荒川６,東京メトロ千代田線/町屋駅 歩5分,都電荒川線/町屋二丁目駅 歩2分,京成本線/新三河島駅 歩14分,築1年,4階建,3階,9.6万円,3500円,-/9.6万円/-/-,1K,32m
2650,東京メトロ千代田線 町屋駅 4階建 築1年,賃貸マンション,東京都荒川区荒川６,東京メトロ千代田線/町屋駅 歩5分,都電荒川線/町屋二丁目駅 歩2分,京成本線/町屋駅 歩7分,築1年,4階建,3階,9.6万円,3500円,-/9.6万円/-/-,1K,32m
2651,パロス日暮里,賃貸マンション,東京都荒川区西日暮里２,ＪＲ山手線/日暮里駅 歩3分,東京メトロ千代田線/西日暮里駅 歩7分,ＪＲ常磐線/三河島駅 歩10分,築19年,13階建,11階,9万円,10000円,9万円/9万円/-/-,ワンルーム,28.12m
2652,パロス日暮里,賃貸マンション,東京都荒川区西日暮里２,ＪＲ山手線/日暮里駅 歩3分,東京メトロ千代田線/西日暮里駅 歩7分,ＪＲ常磐線/三河島駅 歩10分,築19年,13階建,4階,9.5万円,10000円,19万円/19万円/-/-,1DK,28.12m
2653,パロス日暮里,賃貸マンション,東京都荒川区西日暮里２,ＪＲ山手線/日暮里駅 歩3分,東京メトロ千代田線/西日暮里駅 歩7分,ＪＲ常磐線/三河島駅 歩10分,築19年,13階建,11階,18万円,20000円,36万円/18万円/-/-,2LDK,71.37m
2654,都電荒川線 小台駅 3階建 築38年,賃貸マンション,東京都荒川区西尾久５,都電荒川線/小台駅 歩5分,ＪＲ山手線/田端駅 歩13分,ＪＲ高崎線/尾久駅 歩10分,築38年,3階建,2階,10万円,-,10万円/10万円/-/-,2DK,69.3m
2655,西尾久１丁目戸建,賃貸一戸建て,東京都荒川区西尾久１,ＪＲ山手線/田端駅 歩10分,ＪＲ京浜東北線/田端駅 歩10分,日暮里・舎人ライナー/赤土小学校前駅 歩11分,築53年,2階建,-,10万円,-,10万円/10万円/-/-,4K,67.63m
2656,OLD　PAL,賃貸マンション,東京都荒川区東尾久４,ＪＲ山手線/田端駅 歩10分,日暮里・舎人ライナー/赤土小学校前駅 歩4分,ＪＲ京浜東北線/田端駅 歩10分,築12年,6階建,2階,9.2万円,8000円,9.2万円/9.2万円/-/-,1DK,32.2m
2657,OLD　PAL,賃貸マンション,東京都荒川区東尾久４,ＪＲ山手線/田端駅 歩10分,日暮里・舎人ライナー/赤土小学校前駅 歩4分,ＪＲ京浜東北線/田端駅 歩10分,築12年,6階建,3階,9.2万円,8000円,9.2万円/9.2万円/-/-,1DK,32.2m
2658,OLD　PAL,賃貸マンション,東京都荒川区東尾久４,ＪＲ山手線/田端駅 歩10分,日暮里・舎人ライナー/赤土小学校前駅 歩4分,ＪＲ京浜東北線/田端駅 歩10分,築12年,6階建,6階,14.6万円,8000円,14.6万円/14.6万円/-/-,2LDK,58.9m
2659,ＪＲ高崎線 尾久駅 5階建 築23年,賃貸マンション,東京都荒川区西尾久５,ＪＲ高崎線/尾久駅 歩5分,ＪＲ山手線/田端駅 歩13分,ＪＲ京浜東北線/上中里駅 歩15分,築23年,5階建,3階,9.7万円,3000円,19.4万円/9.7万円/-/-,2LDK,48.5m
2660,セーコー第２コーポ,賃貸マンション,東京都荒川区西尾久５,ＪＲ高崎線/尾久駅 歩5分,ＪＲ山手線/田端駅 歩13分,日暮里・舎人ライナー/熊野前駅 歩12分,築22年,5階建,3階,9.7万円,3000円,19.4万円/9.7万円/-/-,2LDK,48.5m
2661,イカリハイツ,賃貸マンション,東京都荒川区東尾久４,ＪＲ山手線/田端駅 歩10分,日暮里・舎人ライナー/赤土小学校前駅 歩5分,都電荒川線/熊野前駅 歩11分,築40年,4階建,4階,10万円,-,10万円/10万円/-/-,2DK,45m
2662,コーポ横山,賃貸アパート,東京都荒川区西日暮里３,ＪＲ山手線/西日暮里駅 歩4分,東京メトロ千代田線/千駄木駅 歩11分,ＪＲ山手線/日暮里駅 歩12分,築30年,2階建,1階,10万円,-,10万円/10万円/-/-,2K,26.45m
2663,コーポ横山,賃貸アパート,東京都荒川区西日暮里３,ＪＲ山手線/西日暮里駅 歩4分,東京メトロ千代田線/千駄木駅 歩11分,ＪＲ山手線/日暮里駅 歩12分,築30年,2階建,1階,9.7万円,3000円,9.7万円/9.7万円/-/-,2DK,41.32m
2664,ＪＲ常磐線 三河島駅 3階建 築47年,賃貸マンション,東京都荒川区東日暮里３,ＪＲ常磐線/三河島駅 歩7分,ＪＲ山手線/日暮里駅 歩12分,ＪＲ京浜東北線/日暮里駅 歩12分,築47年,3階建,2階,10万円,-,10万円/10万円/-/-,2DK,42.93m
2665,ＪＲ山手線 西日暮里駅 1階建 築30年,賃貸アパート,東京都荒川区西日暮里３,ＪＲ山手線/西日暮里駅 歩3分,東京メトロ千代田線/千駄木駅 歩9分,ＪＲ常磐線/日暮里駅 歩12分,築30年,1階建,1階,10万円,-,10万円/-/-/-,2DK,41.32m
2666,ＪＲ山手線 西日暮里駅 1階建 築30年,賃貸アパート,東京都荒川区西日暮里３,ＪＲ山手線/西日暮里駅 歩3分,東京メトロ千代田線/千駄木駅 歩9分,ＪＲ常磐線/日暮里駅 歩12分,築30年,1階建,1階,10万円,-,10万円/-/-/-,2DK,41.32m
2667,サンビレッヂ三ノ輪,賃貸マンション,東京都荒川区南千住２,東京メトロ日比谷線/三ノ輪駅 歩2分,つくばエクスプレス/南千住駅 歩8分,ＪＲ常磐線/南千住駅 歩8分,築27年,7階建,5階,9.7万円,3000円,9.7万円/9.7万円/-/-,1LDK,40m
2668,ＪＲ山手線 田端駅 4階建 築38年,賃貸マンション,東京都荒川区東尾久４,ＪＲ山手線/田端駅 歩9分,日暮里・舎人ライナー/赤土小学校前駅 歩6分,都電荒川線/熊野前駅 歩12分,築38年,4階建,4階,10万円,-,10万円/10万円/-/-,2DK,40m
2669,葛岡第二マンション,賃貸マンション,東京都荒川区東日暮里６,ＪＲ常磐線/三河島駅 歩4分,ＪＲ山手線/日暮里駅 歩10分,東京メトロ千代田線/西日暮里駅 歩12分,築29年,3階建,1階,10万円,-,10万円/-/-/-,2DK,39.42m
2670,葛岡第二マンション,賃貸マンション,東京都荒川区東日暮里６,ＪＲ常磐線/三河島駅 歩4分,ＪＲ山手線/日暮里駅 歩10分,東京メトロ千代田線/西日暮里駅 歩12分,築29年,3階建,2階,11万円,-,11万円/-/-/-,2DK,37.72m
2671,ＪＲ山手線 田端駅 6階建 築18年,賃貸マンション,東京都荒川区東尾久４,ＪＲ山手線/田端駅 歩16分,ＪＲ京浜東北線/西日暮里駅 歩16分,東京メトロ千代田線/町屋駅 歩15分,築18年,6階建,6階,9.5万円,5000円,9.5万円/9.5万円/-/-,1K,39.31m
2672,ＴＣビル,賃貸マンション,東京都荒川区東尾久４,東京メトロ千代田線/町屋駅 歩15分,ＪＲ山手線/西日暮里駅 歩16分,ＪＲ山手線/田端駅 歩16分,築18年,6階建,6階,9.5万円,5000円,9.5万円/9.5万円/-/-,1K,39.31m
2673,サンハイムＳ,賃貸マンション,東京都荒川区東尾久６,東京メトロ千代田線/町屋駅 歩6分,京成本線/町屋駅 歩9分,ＪＲ山手線/西日暮里駅 歩20分,築20年,4階建,2階,9.5万円,5000円,-/-/-/-,2DK,38.88m
2674,堀口日興ビル,賃貸マンション,東京都荒川区東日暮里５,ＪＲ山手線/日暮里駅 歩1分,ＪＲ京浜東北線/西日暮里駅 歩9分,東京メトロ千代田線/千駄木駅 歩10分,築35年,10階建,7階,9万円,10000円,9万円/9万円/-/-,2DK,38.38m
2675,ラ・ブランシュ,賃貸マンション,東京都荒川区荒川３,ＪＲ常磐線/三河島駅 歩3分,京成本線/新三河島駅 歩10分,ＪＲ山手線/日暮里駅 歩15分,築20年,5階建,4階,9.5万円,5000円,19万円/-/-/-,2DK,36.2m
2676,ＪＲ常磐線 三河島駅 5階建 築30年,賃貸マンション,東京都荒川区荒川３,ＪＲ常磐線/三河島駅 歩2分,ＪＲ山手線/日暮里駅 歩15分,ＪＲ山手線/西日暮里駅 歩19分,築30年,5階建,4階,9.5万円,5000円,19万円/-/-/-,2DK,36.2m
2677,パルクレール日之出,賃貸マンション,東京都荒川区西日暮里３,ＪＲ山手線/日暮里駅 歩5分,ＪＲ山手線/西日暮里駅 歩7分,None,築19年,3階建,2階,9.5万円,5000円,9.5万円/9.5万円/-/-,1DK,31.23m
2678,パルクレール日之出,賃貸マンション,東京都荒川区西日暮里３,ＪＲ山手線/日暮里駅 歩5分,ＪＲ山手線/西日暮里駅 歩7分,None,築19年,3階建,1階,10万円,-,10万円/10万円/-/-,1DK,31m
2679,ＪＲ山手線 日暮里駅 3階建 築19年,賃貸マンション,東京都荒川区西日暮里３,ＪＲ山手線/日暮里駅 歩5分,ＪＲ山手線/西日暮里駅 歩7分,東京メトロ千代田線/千駄木駅 歩7分,築19年,3階建,2階,9.5万円,5000円,9.5万円/9.5万円/-/-,1DK,31.23m
2680,ＪＲ山手線 日暮里駅 10階建 築5年,賃貸マンション,東京都荒川区東日暮里４,ＪＲ山手線/日暮里駅 歩10分,ＪＲ京浜東北線/鶯谷駅 歩7分,ＪＲ常磐線/三河島駅 歩8分,築5年,10階建,6階,9万円,10500円,-/9万円/-/-,1K,25.88m
2681,ＪＲ山手線 日暮里駅 10階建 築5年,賃貸マンション,東京都荒川区東日暮里４,ＪＲ山手線/日暮里駅 歩10分,ＪＲ京浜東北線/鶯谷駅 歩7分,ＪＲ常磐線/三河島駅 歩8分,築5年,10階建,6階,9万円,10500円,-/9万円/-/-,1K,25.88m
2682,ＪＲ山手線 日暮里駅 10階建 築5年,賃貸マンション,東京都荒川区東日暮里４,ＪＲ山手線/日暮里駅 歩10分,ＪＲ京浜東北線/鶯谷駅 歩7分,ＪＲ常磐線/三河島駅 歩8分,築5年,10階建,2階,9.5万円,10500円,-/9.5万円/-/-,1K,25.96m
2683,ＪＲ宇都宮線 尾久駅 5階建 築48年,賃貸マンション,東京都荒川区西尾久７,ＪＲ宇都宮線/尾久駅 歩4分,ＪＲ京浜東北線/上中里駅 歩15分,都電荒川線/荒川遊園地前駅 歩3分,築48年,5階建,2階,10万円,1000円,-/10万円/-/-,3DK,50.83m
2684,ダイヤモンドレジデンス東日暮里第２,賃貸マンション,東京都荒川区東日暮里６,ＪＲ山手線/日暮里駅 歩5分,ＪＲ山手線/西日暮里駅 歩11分,ＪＲ常磐線/三河島駅 歩8分,築41年,5階建,5階,9.8万円,3000円,9.8万円/-/-/-,2DK,37.8m
