,建物名,レンタルタイプ,住所,立地1,立地2,立地3,築年数,建物高さ,階,賃料,管理費,"敷/礼/保証/敷引,償却",間取り,専有面積
2154,ＪＲ山手線 上野駅 9階建 築3年,賃貸マンション,東京都台東区東上野６,ＪＲ山手線/上野駅 歩8分,東京メトロ銀座線/稲荷町駅 歩7分,東京メトロ日比谷線/入谷駅 歩8分,築3年,9階建,6階,9万円,10000円,9万円/9万円/-/-,ワンルーム,29.92m
2155,レゴキューブ,賃貸マンション,東京都台東区入谷２,東京メトロ日比谷線/入谷駅 歩5分,つくばエクスプレス/浅草駅 歩13分,ＪＲ山手線/鶯谷駅 歩13分,築4年,4階建,1階,9万円,8000円,-/-/9万円/9万円,1DK,28.78m
2156,東京メトロ日比谷線 入谷駅 4階建 築4年,賃貸マンション,東京都台東区入谷２,東京メトロ日比谷線/入谷駅 歩5分,ＪＲ山手線/鶯谷駅 歩15分,東京メトロ日比谷線/三ノ輪駅 歩15分,築4年,4階建,1階,9万円,8000円,-/-/9万円/-,1DK,28.78m
2157,東京メトロ日比谷線 入谷駅 4階建 築4年,賃貸マンション,東京都台東区入谷２,東京メトロ日比谷線/入谷駅 歩5分,ＪＲ山手線/鶯谷駅 歩15分,東京メトロ日比谷線/三ノ輪駅 歩15分,築4年,4階建,1階,9万円,8000円,-/-/9万円/-,1DK,28.78m
2158,リバーレ浅草ウエスト,賃貸マンション,東京都台東区寿２,都営浅草線/浅草駅 歩9分,東京メトロ銀座線/田原町駅 歩2分,都営大江戸線/蔵前駅 歩9分,築2年,15階建,6階,9.2万円,6000円,9.2万円/-/-/-,1K,25.19m
2159,リバーレ浅草ウエスト,賃貸マンション,東京都台東区寿２,都営浅草線/浅草駅 歩9分,東京メトロ銀座線/田原町駅 歩2分,都営大江戸線/蔵前駅 歩9分,築2年,15階建,8階,9.4万円,6000円,9.4万円/-/-/-,1K,25.19m
2160,リバーレ浅草ウエスト,賃貸マンション,東京都台東区寿２,都営浅草線/浅草駅 歩9分,東京メトロ銀座線/田原町駅 歩2分,都営大江戸線/蔵前駅 歩9分,築2年,15階建,8階,10万円,6000円,10万円/-/-/-,1K,26.95m
2161,メインステージ元浅草,賃貸マンション,東京都台東区元浅草４,東京メトロ銀座線/田原町駅 歩7分,東京メトロ銀座線/稲荷町駅 歩7分,都営大江戸線/新御徒町駅 歩7分,築11年,14階建,12階,8.6万円,12000円,-/-/-/-,1K,25.5m
2162,メインステージ元浅草,賃貸マンション,東京都台東区元浅草４,東京メトロ銀座線/田原町駅 歩7分,東京メトロ銀座線/稲荷町駅 歩7分,都営大江戸線/新御徒町駅 歩7分,築11年,14階建,13階,8.9万円,10000円,-/-/-/-,1K,25.5m
2163,メインステージ元浅草,賃貸マンション,東京都台東区元浅草４,東京メトロ銀座線/田原町駅 歩7分,東京メトロ銀座線/稲荷町駅 歩7分,都営大江戸線/新御徒町駅 歩7分,築11年,14階建,12階,8.7万円,12000円,-/-/-/-,1K,25.5m
2164,メインステージ元浅草,賃貸マンション,東京都台東区元浅草４,東京メトロ銀座線/田原町駅 歩7分,東京メトロ銀座線/稲荷町駅 歩7分,都営大江戸線/新御徒町駅 歩7分,築11年,14階建,14階,9万円,10000円,-/-/-/-,1K,25.5m
2165,メインステージ元浅草,賃貸マンション,東京都台東区元浅草４,東京メトロ銀座線/田原町駅 歩7分,東京メトロ銀座線/稲荷町駅 歩7分,都営大江戸線/新御徒町駅 歩7分,築11年,14階建,2階,9.1万円,10500円,-/9.1万円/-/-,1K,25.5m
2166,メインステージ元浅草,賃貸マンション,東京都台東区元浅草４,東京メトロ銀座線/田原町駅 歩7分,東京メトロ銀座線/稲荷町駅 歩7分,都営大江戸線/新御徒町駅 歩7分,築11年,14階建,2階,9.6万円,8000円,-/9.6万円/-/-,1K,25.5m
2167,メインステージ元浅草,賃貸マンション,東京都台東区元浅草４,東京メトロ銀座線/田原町駅 歩7分,東京メトロ銀座線/稲荷町駅 歩7分,都営大江戸線/新御徒町駅 歩7分,築11年,14階建,2階,9.6万円,10500円,-/9.6万円/-/-,1K,25.5m
