,建物名,レンタルタイプ,住所,立地1,立地2,立地3,築年数,建物高さ,階,賃料,管理費,"敷/礼/保証/敷引,償却",間取り,専有面積
2639,東京メトロ有楽町線 護国寺駅 地下1地上5階建 築28年,賃貸マンション,東京都豊島区雑司が谷１,東京メトロ有楽町線/護国寺駅 歩11分,東京メトロ副都心線/雑司が谷駅 歩6分,ＪＲ山手線/目白駅 歩15分,築28年,地下1地上5階建,3階,6.7万円,8000円,6.7万円/-/-/-,1K,16.38m
2640,東京メトロ有楽町線 護国寺駅 地下1地上5階建 築28年,賃貸マンション,東京都豊島区雑司が谷１,東京メトロ有楽町線/護国寺駅 歩11分,東京メトロ副都心線/雑司が谷駅 歩6分,ＪＲ山手線/目白駅 歩15分,築28年,地下1地上5階建,3階,6.7万円,8000円,6.7万円/-/-/-,1K,16.38m
2641,東京メトロ有楽町線 護国寺駅 地下1地上5階建 築28年,賃貸マンション,東京都豊島区雑司が谷１,東京メトロ有楽町線/護国寺駅 歩11分,東京メトロ副都心線/雑司が谷駅 歩6分,ＪＲ山手線/目白駅 歩15分,築28年,地下1地上5階建,3階,6.7万円,8000円,6.7万円/-/-/-,1K,16.38m
2642,東京メトロ有楽町線 護国寺駅 地下1地上5階建 築28年,賃貸マンション,東京都豊島区雑司が谷１,東京メトロ有楽町線/護国寺駅 歩11分,東京メトロ副都心線/雑司が谷駅 歩6分,ＪＲ山手線/目白駅 歩15分,築28年,地下1地上5階建,4階,6.7万円,8000円,6.7万円/-/-/-,1K,16.38m
2643,東京メトロ有楽町線 護国寺駅 地下1地上5階建 築28年,賃貸マンション,東京都豊島区雑司が谷１,東京メトロ有楽町線/護国寺駅 歩11分,東京メトロ副都心線/雑司が谷駅 歩6分,ＪＲ山手線/目白駅 歩15分,築28年,地下1地上5階建,3階,6.7万円,8000円,6.7万円/-/-/-,1K,16.35m
2644,東京メトロ有楽町線 護国寺駅 地下1地上5階建 築28年,賃貸マンション,東京都豊島区雑司が谷１,東京メトロ有楽町線/護国寺駅 歩11分,東京メトロ副都心線/雑司が谷駅 歩6分,ＪＲ山手線/目白駅 歩15分,築28年,地下1地上5階建,4階,6.8万円,8000円,6.8万円/-/-/-,1K,16.38m
2645,東京メトロ有楽町線 護国寺駅 地下1地上5階建 築28年,賃貸マンション,東京都豊島区雑司が谷１,東京メトロ有楽町線/護国寺駅 歩11分,東京メトロ副都心線/雑司が谷駅 歩6分,ＪＲ山手線/目白駅 歩15分,築28年,地下1地上5階建,5階,6.9万円,8000円,6.9万円/-/-/-,1K,16.38m
2646,東京メトロ有楽町線 護国寺駅 地下1地上5階建 築28年,賃貸マンション,東京都豊島区雑司が谷１,東京メトロ有楽町線/護国寺駅 歩11分,東京メトロ副都心線/雑司が谷駅 歩6分,ＪＲ山手線/目白駅 歩15分,築28年,地下1地上5階建,5階,6.9万円,8000円,6.9万円/-/-/-,1K,16.38m
2647,東京メトロ有楽町線 護国寺駅 地下1地上5階建 築28年,賃貸マンション,東京都豊島区雑司が谷１,東京メトロ有楽町線/護国寺駅 歩11分,東京メトロ副都心線/雑司が谷駅 歩6分,ＪＲ山手線/目白駅 歩15分,築28年,地下1地上5階建,5階,6.9万円,8000円,6.9万円/-/-/-,1K,16.38m
2648,東京メトロ東西線 早稲田駅 2階建 築15年,賃貸アパート,東京都豊島区高田１,東京メトロ東西線/早稲田駅 歩15分,都電荒川線/早稲田駅 歩4分,都電荒川線/面影橋駅 歩9分,築15年,2階建,2階,7.4万円,-,7.4万円/7.4万円/-/-,1K,15.22m
2649,要町,賃貸アパート,東京都豊島区池袋３,東京メトロ有楽町線/要町駅 歩5分,湘南新宿ライン宇須/池袋駅 歩9分,西武池袋線/椎名町駅 歩16分,築3年,2階建,1階,5.4万円,20000円,-/-/-/-,ワンルーム,7.1m
2650,要町,賃貸アパート,東京都豊島区池袋３,東京メトロ有楽町線/要町駅 歩5分,湘南新宿ライン宇須/池袋駅 歩9分,西武池袋線/椎名町駅 歩16分,築3年,2階建,1階,5.6万円,20000円,-/-/-/-,ワンルーム,7.1m
2651,要町,賃貸アパート,東京都豊島区池袋３,東京メトロ有楽町線/要町駅 歩5分,湘南新宿ライン宇須/池袋駅 歩9分,西武池袋線/椎名町駅 歩16分,築3年,2階建,1階,5.6万円,20000円,-/-/-/-,ワンルーム,7.1m
2652,要町,賃貸アパート,東京都豊島区池袋３,東京メトロ有楽町線/要町駅 歩5分,湘南新宿ライン宇須/池袋駅 歩9分,西武池袋線/椎名町駅 歩16分,築3年,2階建,1階,5.6万円,20000円,-/-/-/-,ワンルーム,7.1m
2653,要町,賃貸アパート,東京都豊島区池袋３,東京メトロ有楽町線/要町駅 歩5分,湘南新宿ライン宇須/池袋駅 歩9分,西武池袋線/椎名町駅 歩16分,築3年,2階建,2階,5.8万円,20000円,-/-/-/-,ワンルーム,7.1m
