,建物名,レンタルタイプ,住所,立地1,立地2,立地3,築年数,建物高さ,階,賃料,管理費,"敷/礼/保証/敷引,償却",間取り,専有面積
11457,スパシエステージ池袋西,賃貸マンション,東京都板橋区中丸町,東武東上線/大山駅 歩10分,ＪＲ山手線/池袋駅 歩17分,東武東上線/下板橋駅 歩14分,新築,12階建,3階,8.7万円,9000円,8.7万円/-/-/8.7万円,ワンルーム,27.34m
11458,スパシエステージ池袋西,賃貸マンション,東京都板橋区中丸町,東武東上線/大山駅 歩10分,ＪＲ山手線/池袋駅 歩17分,東武東上線/下板橋駅 歩14分,新築,12階建,6階,8.75万円,9000円,8.75万円/-/-/8.75万円,ワンルーム,27.34m
11459,スパシエステージ池袋西,賃貸マンション,東京都板橋区中丸町,東武東上線/大山駅 歩10分,ＪＲ山手線/池袋駅 歩17分,東武東上線/下板橋駅 歩14分,新築,12階建,5階,8.75万円,9000円,8.75万円/-/-/8.75万円,ワンルーム,27.34m
11460,スパシエステージ池袋西,賃貸マンション,東京都板橋区中丸町,東武東上線/大山駅 歩10分,ＪＲ山手線/池袋駅 歩17分,東武東上線/下板橋駅 歩14分,新築,12階建,7階,8.8万円,9000円,8.8万円/-/-/8.8万円,ワンルーム,27.34m
11461,スパシエステージ池袋西,賃貸マンション,東京都板橋区中丸町,東武東上線/大山駅 歩10分,ＪＲ山手線/池袋駅 歩17分,東武東上線/下板橋駅 歩14分,新築,12階建,10階,8.85万円,9000円,8.85万円/-/-/-,ワンルーム,27.34m
11462,スパシエステージ池袋西,賃貸マンション,東京都板橋区中丸町,東武東上線/大山駅 歩10分,ＪＲ山手線/池袋駅 歩17分,東武東上線/下板橋駅 歩14分,新築,12階建,12階,8.9万円,9000円,8.9万円/-/-/8.9万円,ワンルーム,27.34m
11463,東武東上線 下板橋駅 8階建 築1年,賃貸マンション,東京都板橋区板橋１,東武東上線/下板橋駅 歩1分,ＪＲ埼京線/板橋駅 歩5分,都営三田線/新板橋駅 歩7分,築1年,8階建,2階,8.3万円,10000円,8.3万円/-/-/-,1K,25.13m
11464,東武東上線 下板橋駅 8階建 築1年,賃貸マンション,東京都板橋区板橋１,東武東上線/下板橋駅 歩1分,ＪＲ埼京線/板橋駅 歩5分,都営三田線/新板橋駅 歩7分,築1年,8階建,2階,8.5万円,10000円,8.5万円/-/-/-,1K,26.95m
11465,東武東上線 下板橋駅 8階建 築1年,賃貸マンション,東京都板橋区板橋１,東武東上線/下板橋駅 歩1分,ＪＲ埼京線/板橋駅 歩5分,都営三田線/新板橋駅 歩7分,築1年,8階建,4階,8.5万円,10000円,8.5万円/-/-/-,1K,25.13m
11466,東武東上線 下板橋駅 8階建 築1年,賃貸マンション,東京都板橋区板橋１,東武東上線/下板橋駅 歩1分,ＪＲ埼京線/板橋駅 歩5分,都営三田線/新板橋駅 歩7分,築1年,8階建,5階,8.5万円,10000円,8.5万円/-/-/-,1K,25.13m
11467,東武東上線 下板橋駅 8階建 築1年,賃貸マンション,東京都板橋区板橋１,東武東上線/下板橋駅 歩1分,ＪＲ埼京線/板橋駅 歩5分,都営三田線/新板橋駅 歩7分,築1年,8階建,8階,9.5万円,10000円,9.5万円/-/-/-,1DK,25.81m
11468,東京メトロ有楽町線 地下鉄成増駅 5階建 築2年,賃貸マンション,東京都板橋区成増１,東京メトロ有楽町線/地下鉄成増駅 歩3分,東武東上線/成増駅 歩5分,東京メトロ有楽町線/地下鉄赤塚駅 歩14分,築2年,5階建,3階,8.3万円,10000円,8.3万円/8.3万円/-/-,1K,26.19m
11469,東京メトロ副都心線 地下鉄成増駅 5階建 築2年,賃貸マンション,東京都板橋区成増１,東京メトロ副都心線/地下鉄成増駅 歩3分,東武東上線/成増駅 歩5分,東京メトロ有楽町線/地下鉄赤塚駅 歩16分,築2年,5階建,3階,8.3万円,10000円,8.3万円/8.3万円/-/-,1K,26.19m
11470,レジディア板橋,賃貸マンション,東京都板橋区板橋１,ＪＲ埼京線/板橋駅 歩5分,東武東上線/下板橋駅 歩1分,都営三田線/新板橋駅 歩7分,築1年,8階建,2階,8.3万円,10000円,8.3万円/-/-/-,1K,25.13m
11471,レジディア板橋,賃貸マンション,東京都板橋区板橋１,ＪＲ埼京線/板橋駅 歩5分,東武東上線/下板橋駅 歩1分,都営三田線/新板橋駅 歩7分,築1年,8階建,8階,9.5万円,10000円,9.5万円/-/-/-,1DK,25.81m
