,建物名,レンタルタイプ,住所,立地1,立地2,立地3,築年数,建物高さ,階,賃料,管理費,"敷/礼/保証/敷引,償却",間取り,専有面積
480,東武伊勢崎線 東向島駅 2階建 築11年,賃貸アパート,東京都墨田区東向島５,東武伊勢崎線/東向島駅 歩6分,京成押上線/八広駅 歩11分,東武伊勢崎線/鐘ヶ淵駅 歩11分,築11年,2階建,2階,5.9万円,4000円,-/-/-/-,1K,14.04m
481,プリンセスコート錦糸町,賃貸マンション,東京都墨田区江東橋１,ＪＲ総武線/錦糸町駅 歩4分,都営新宿線/住吉駅 歩13分,都営大江戸線/両国駅 歩16分,築15年,5階建,2階,6万円,3000円,6万円/6万円/-/-,ワンルーム,12.91m
482,プリンセスコート錦糸町,賃貸マンション,東京都墨田区江東橋１,ＪＲ総武線/錦糸町駅 歩4分,都営新宿線/住吉駅 歩13分,都営大江戸線/両国駅 歩16分,築15年,5階建,2階,7万円,3000円,7万円/7万円/-/-,ワンルーム,13m
483,プリンセスコート錦糸町,賃貸マンション,東京都墨田区江東橋１,ＪＲ総武線/錦糸町駅 歩4分,都営新宿線/住吉駅 歩13分,都営大江戸線/両国駅 歩16分,築15年,5階建,3階,7万円,3000円,7万円/7万円/-/-,ワンルーム,11.7m
484,ＪＲ総武線 錦糸町駅 5階建 築15年,賃貸マンション,東京都墨田区江東橋１,ＪＲ総武線/錦糸町駅 歩4分,東京メトロ半蔵門線/住吉駅 歩15分,都営新宿線/菊川駅 歩16分,築15年,5階建,2階,6万円,3000円,6万円/6万円/-/-,ワンルーム,12.91m
485,カルテット押上,賃貸アパート,東京都墨田区向島５,東武伊勢崎線/曳舟駅 歩8分,京成押上線/京成曳舟駅 歩13分,東京メトロ半蔵門線/押上駅 歩13分,築8年,2階建,2階,6万円,3000円,-/-/-/-,1K,12.39m
486,昌大ビル,賃貸マンション,東京都墨田区石原２,都営大江戸線/両国駅 歩10分,都営浅草線/浅草駅 歩11分,ＪＲ総武線/両国駅 歩17分,築44年,4階建,2階,6万円,3500円,6万円/6万円/-/-,1K,23.86m
487,昌大ビル,賃貸マンション,東京都墨田区石原２,都営大江戸線/両国駅 歩10分,都営浅草線/浅草駅 歩11分,ＪＲ総武線/両国駅 歩17分,築44年,4階建,3階,6.1万円,3500円,6.1万円/6.1万円/-/-,1K,23.76m
488,都営大江戸線 両国駅 4階建 築44年,賃貸マンション,東京都墨田区石原２,都営大江戸線/両国駅 歩9分,都営浅草線/本所吾妻橋駅 歩13分,都営大江戸線/蔵前駅 歩10分,築44年,4階建,2階,6万円,3500円,6万円/6万円/-/-,1K,23m
489,都営大江戸線 両国駅 4階建 築44年,賃貸マンション,東京都墨田区石原２,都営大江戸線/両国駅 歩9分,都営浅草線/本所吾妻橋駅 歩13分,都営大江戸線/蔵前駅 歩10分,築44年,4階建,3階,6.1万円,3500円,6.1万円/6.1万円/-/-,1K,23m
490,東武伊勢崎線 東向島駅 4階建 築30年,賃貸マンション,東京都墨田区墨田１,東武伊勢崎線/東向島駅 歩5分,京成押上線/八広駅 歩15分,東武伊勢崎線/鐘ヶ淵駅 歩10分,築30年,4階建,3階,6万円,3500円,-/-/-/-,ワンルーム,20.41m
491,寿マンション,賃貸アパート,東京都墨田区東向島５,東武伊勢崎線/東向島駅 歩5分,京成押上線/京成曳舟駅 歩12分,京成押上線/八広駅 歩11分,築40年,2階建,1階,6.4万円,-,6.4万円/6.4万円/-/-,2K,29.7m
492,シティコーポ隅田,賃貸マンション,東京都墨田区八広６,京成押上線/八広駅 歩6分,東武伊勢崎線/鐘ヶ淵駅 歩11分,None,築31年,12階建,3階,5.9万円,5000円,5.9万円/5.9万円/-/5.9万円,ワンルーム,26.06m
493,ＪＲ総武線 両国駅 13階建 築48年,賃貸マンション,東京都墨田区両国４,ＪＲ総武線/両国駅 歩3分,都営新宿線/森下駅 歩10分,None,築48年,13階建,3階,5.9万円,5000円,5.9万円/-/-/-,1K,25.6m
494,日神パレス錦糸町,賃貸マンション,東京都墨田区緑４,ＪＲ総武線/錦糸町駅 歩6分,東京メトロ半蔵門線/錦糸町駅 歩6分,都営新宿線/菊川駅 歩13分,築30年,12階建,7階,6.4万円,-,6.4万円/-/-/-,1K,25.14m
495,日神パレス錦糸町,賃貸マンション,東京都墨田区緑４,ＪＲ総武線/錦糸町駅 歩6分,東京メトロ半蔵門線/錦糸町駅 歩6分,都営新宿線/菊川駅 歩13分,築30年,12階建,8階,7万円,7000円,7万円/7万円/-/-,ワンルーム,21.32m
496,日神パレス錦糸町,賃貸マンション,東京都墨田区緑４,ＪＲ総武線/錦糸町駅 歩6分,東京メトロ半蔵門線/錦糸町駅 歩6分,都営新宿線/菊川駅 歩13分,築30年,12階建,8階,7万円,7000円,7万円/7万円/-/-,ワンルーム,21.32m
497,日神パレス錦糸町,賃貸マンション,東京都墨田区緑４,ＪＲ総武線/錦糸町駅 歩6分,東京メトロ半蔵門線/錦糸町駅 歩6分,都営新宿線/菊川駅 歩13分,築30年,12階建,8階,7万円,70000円,7万円/7万円/-/-,ワンルーム,16.2m
498,ヴィラ押上,賃貸マンション,東京都墨田区押上１,都営浅草線/押上駅 歩5分,東武伊勢崎線/とうきょうスカイツリー駅 歩11分,東京メトロ半蔵門線/押上駅 歩15分,築61年,3階建,3階,6.3万円,1000円,6.3万円/6.3万円/-/-,ワンルーム,25m
499,キャッスルマンション曳舟,賃貸マンション,東京都墨田区東向島２,東武伊勢崎線/曳舟駅 歩5分,東京メトロ半蔵門線/押上駅 歩14分,京成押上線/京成曳舟駅 歩3分,築29年,10階建,6階,5.9万円,5000円,-/-/-/-,ワンルーム,21.04m
500,キャッスルマンション曳舟,賃貸マンション,東京都墨田区東向島２,東武伊勢崎線/曳舟駅 歩5分,東京メトロ半蔵門線/押上駅 歩14分,京成押上線/京成曳舟駅 歩3分,築29年,10階建,6階,5.9万円,5000円,-/-/-/-,ワンルーム,21.04m
501,キャッスルマンション曳舟,賃貸マンション,東京都墨田区東向島２,東武伊勢崎線/曳舟駅 歩5分,東京メトロ半蔵門線/押上駅 歩14分,京成押上線/京成曳舟駅 歩3分,築29年,10階建,6階,5.9万円,5000円,-/-/-/-,ワンルーム,21.04m
502,京成押上線 京成曳舟駅 10階建 築29年,賃貸マンション,東京都墨田区東向島２,京成押上線/京成曳舟駅 歩4分,東武伊勢崎線/曳舟駅 歩5分,東武伊勢崎線/東向島駅 歩10分,築29年,10階建,6階,5.9万円,5000円,-/-/-/-,ワンルーム,21.04m
