,建物名,レンタルタイプ,住所,立地1,立地2,立地3,築年数,建物高さ,階,賃料,管理費,"敷/礼/保証/敷引,償却",間取り,専有面積
1904,レオパレス豊藤,賃貸マンション,東京都文京区大塚４,東京メトロ丸ノ内線/新大塚駅 歩9分,None,None,築15年,3階建,1階,8.8万円,6500円,-/8.8万円/-/-,1K,19.87m
1905,ラフィーネ本郷,賃貸マンション,東京都文京区本郷２,東京メトロ丸ノ内線/本郷三丁目駅 歩6分,ＪＲ中央線/水道橋駅 歩6分,都営三田線/春日駅 歩10分,築15年,10階建,1階,8万円,6000円,8万円/8万円/-/-,1K,20.86m
1906,ラフィーネ本郷,賃貸マンション,東京都文京区本郷２,東京メトロ丸ノ内線/本郷三丁目駅 歩6分,ＪＲ中央線/水道橋駅 歩6分,都営三田線/春日駅 歩10分,築15年,10階建,2階,8.3万円,6000円,8.3万円/8.3万円/-/-,1K,20.86m
1907,ラフィーネ本郷,賃貸マンション,東京都文京区本郷２,東京メトロ丸ノ内線/本郷三丁目駅 歩6分,ＪＲ中央線/水道橋駅 歩6分,都営三田線/春日駅 歩10分,築15年,10階建,5階,18.4万円,3000円,18.4万円/18.4万円/-/-,2LDK,60.5m
1908,セザール本郷,賃貸マンション,東京都文京区本郷１,ＪＲ中央線/御茶ノ水駅 歩15分,都営三田線/水道橋駅 歩4分,東京メトロ南北線/後楽園駅 歩6分,築35年,4階建,3階,8.3万円,3000円,16.6万円/8.3万円/-/-,1DK,33.96m
1909,白山ヒルズ,賃貸アパート,東京都文京区白山４,都営三田線/白山駅 歩7分,東京メトロ南北線/本駒込駅 歩17分,都営三田線/千石駅 歩14分,築13年,2階建,2階,8.4万円,2000円,8.4万円/8.4万円/-/-,1K,33.79m
1910,白山ヒルズ,賃貸アパート,東京都文京区白山４,都営三田線/白山駅 歩7分,東京メトロ南北線/本駒込駅 歩17分,都営三田線/千石駅 歩14分,築13年,2階建,2階,8.5万円,2000円,8.5万円/8.5万円/-/-,1K,33.79m
1911,都営三田線 白山駅 2階建 築13年,賃貸アパート,東京都文京区白山４,都営三田線/白山駅 歩7分,東京メトロ南北線/本駒込駅 歩17分,都営三田線/千石駅 歩13分,築13年,2階建,2階,8.4万円,2000円,8.4万円/8.4万円/-/-,1K,33.79m
1912,都営三田線 白山駅 2階建 築13年,賃貸アパート,東京都文京区白山４,都営三田線/白山駅 歩7分,東京メトロ南北線/本駒込駅 歩17分,都営三田線/千石駅 歩13分,築13年,2階建,2階,8.5万円,2000円,8.5万円/8.5万円/-/-,1K,33.79m
1913,フルハウス,賃貸マンション,東京都文京区本駒込５,ＪＲ山手線/巣鴨駅 歩6分,ＪＲ山手線/駒込駅 歩13分,都営三田線/巣鴨駅 歩6分,築38年,5階建,2階,8.6万円,-,8.6万円/8.6万円/-/-,2K,32.07m
1914,フルハウス,賃貸マンション,東京都文京区本駒込５,ＪＲ山手線/巣鴨駅 歩6分,ＪＲ山手線/駒込駅 歩13分,都営三田線/巣鴨駅 歩6分,築38年,5階建,3階,8.7万円,-,8.7万円/8.7万円/-/-,2K,32.07m
1915,フルハウス,賃貸マンション,東京都文京区本駒込５,ＪＲ山手線/巣鴨駅 歩6分,ＪＲ山手線/駒込駅 歩13分,都営三田線/巣鴨駅 歩6分,築38年,5階建,2階,8.8万円,-,8.8万円/8.8万円/-/-,2K,32.07m
1916,東京メトロ南北線 本駒込駅 5階建 築38年,賃貸マンション,東京都文京区本駒込５,東京メトロ南北線/本駒込駅 歩10分,都営三田線/千石駅 歩10分,ＪＲ山手線/駒込駅 歩10分,築38年,5階建,2階,8.6万円,-,8.6万円/8.6万円/-/-,2K,32.07m
1917,深野荘,賃貸マンション,東京都文京区本郷６,都営大江戸線/春日駅 歩5分,東京メトロ南北線/後楽園駅 歩8分,東京メトロ南北線/東大前駅 歩8分,築43年,2階建,2階,8.6万円,-,-/-/-/-,2K,30m
1918,東京メトロ千代田線 千駄木駅 3階建 築29年,賃貸マンション,東京都文京区千駄木３,東京メトロ千代田線/千駄木駅 歩1分,ＪＲ京浜東北線/西日暮里駅 歩11分,東京メトロ南北線/東大前駅 歩17分,築29年,3階建,3階,8.3万円,3000円,8.3万円/8.3万円/-/-,ワンルーム,26.8m
1919,茗荷谷フラワーハウス,賃貸マンション,東京都文京区小日向３,東京メトロ丸ノ内線/茗荷谷駅 歩6分,東京メトロ有楽町線/護国寺駅 歩11分,東京メトロ有楽町線/江戸川橋駅 歩13分,築13年,3階建,1階,8.3万円,3000円,8.3万円/8.3万円/-/-,1DK,24.79m
1920,東京メトロ南北線 本駒込駅 13階建 築18年,賃貸マンション,東京都文京区本駒込３,東京メトロ南北線/本駒込駅 歩1分,都営三田線/白山駅 歩6分,都営三田線/千石駅 歩11分,築18年,13階建,12階,7.9万円,7000円,7.9万円/7.9万円/-/-,ワンルーム,24.23m
1921,東京メトロ南北線 本駒込駅 13階建 築18年,賃貸マンション,東京都文京区本駒込３,東京メトロ南北線/本駒込駅 歩1分,都営三田線/白山駅 歩6分,都営三田線/千石駅 歩11分,築18年,13階建,8階,7.9万円,7000円,7.9万円/7.9万円/-/-,ワンルーム,24.23m
1922,東京メトロ南北線 本駒込駅 13階建 築18年,賃貸マンション,東京都文京区本駒込３,東京メトロ南北線/本駒込駅 歩1分,都営三田線/白山駅 歩6分,都営三田線/千石駅 歩11分,築18年,13階建,5階,9.3万円,10500円,-/9.3万円/-/-,ワンルーム,23.13m
1923,東京メトロ南北線 本駒込駅 13階建 築18年,賃貸マンション,東京都文京区本駒込３,東京メトロ南北線/本駒込駅 歩1分,都営三田線/白山駅 歩6分,都営三田線/千石駅 歩11分,築18年,13階建,11階,9.3万円,10500円,-/9.3万円/-/-,ワンルーム,23.13m
1924,東京メトロ南北線 本駒込駅 13階建 築18年,賃貸マンション,東京都文京区本駒込３,東京メトロ南北線/本駒込駅 歩1分,都営三田線/白山駅 歩6分,都営三田線/千石駅 歩11分,築18年,13階建,11階,9.6万円,10500円,-/9.6万円/-/-,ワンルーム,24.23m
1925,パーシモン千石,賃貸マンション,東京都文京区千石１,都営三田線/千石駅 歩5分,ＪＲ山手線/巣鴨駅 歩14分,東京メトロ南北線/本駒込駅 歩17分,築9年,5階建,1階,8.2万円,4000円,4.1万円/8.2万円/-/-,ワンルーム,24.07m
1926,都営三田線 千石駅 5階建 築9年,賃貸マンション,東京都文京区千石１,都営三田線/千石駅 歩5分,ＪＲ山手線/巣鴨駅 歩14分,東京メトロ南北線/本駒込駅 歩17分,築9年,5階建,1階,8.2万円,4000円,4.1万円/8.2万円/-/-,ワンルーム,24.07m
1927,ガーラ文京本郷台,賃貸マンション,東京都文京区向丘２,東京メトロ南北線/本駒込駅 歩4分,都営三田線/白山駅 歩7分,東京メトロ千代田線/千駄木駅 歩10分,築14年,8階建,2階,7.7万円,9000円,7.7万円/15.4万円/-/-,ワンルーム,21.76m
1928,ガーラ文京本郷台,賃貸マンション,東京都文京区向丘２,東京メトロ南北線/本駒込駅 歩4分,都営三田線/白山駅 歩7分,東京メトロ千代田線/千駄木駅 歩10分,築14年,8階建,2階,7.7万円,9000円,7.7万円/7.7万円/-/-,ワンルーム,21.76m
1929,ガーラ文京本郷台,賃貸マンション,東京都文京区向丘２,東京メトロ南北線/本駒込駅 歩4分,都営三田線/白山駅 歩7分,東京メトロ千代田線/千駄木駅 歩10分,築14年,8階建,3階,8.3万円,9500円,8.3万円/8.3万円/-/-,1K,22.77m
1930,ガーラ文京本郷台,賃貸マンション,東京都文京区向丘２,東京メトロ南北線/本駒込駅 歩4分,都営三田線/白山駅 歩7分,東京メトロ千代田線/千駄木駅 歩10分,築14年,8階建,3階,8.4万円,9000円,8.4万円/8.4万円/-/-,1K,22.77m
1931,東京メトロ南北線 本駒込駅 8階建 築14年,賃貸マンション,東京都文京区向丘２,東京メトロ南北線/本駒込駅 歩4分,都営三田線/白山駅 歩9分,東京メトロ千代田線/千駄木駅 歩11分,築14年,8階建,2階,7.7万円,9000円,7.7万円/7.7万円/-/-,ワンルーム,21.76m
1932,東京メトロ南北線 本駒込駅 8階建 築14年,賃貸マンション,東京都文京区向丘２,東京メトロ南北線/本駒込駅 歩4分,都営三田線/白山駅 歩9分,東京メトロ千代田線/千駄木駅 歩11分,築14年,8階建,3階,8.3万円,9500円,8.3万円/8.3万円/-/-,1K,22.77m
1933,サンテミリオン本駒込六義園,賃貸マンション,東京都文京区本駒込５,ＪＲ山手線/駒込駅 歩7分,都営三田線/千石駅 歩10分,東京メトロ南北線/本駒込駅 歩13分,築11年,13階建,10階,8.2万円,4000円,8.2万円/8.2万円/-/-,1K,22.4m
1934,スカイコート茗荷谷壱番館,賃貸マンション,東京都文京区白山３,東京メトロ丸ノ内線/茗荷谷駅 歩9分,都営三田線/白山駅 歩13分,都営三田線/春日駅 歩15分,築12年,7階建,4階,7.7万円,9000円,7.7万円/7.7万円/-/-,1K,21.7m
1935,スカイコート茗荷谷壱番館,賃貸マンション,東京都文京区白山３,東京メトロ丸ノ内線/茗荷谷駅 歩9分,都営三田線/白山駅 歩13分,都営三田線/春日駅 歩15分,築12年,7階建,4階,8.4万円,10500円,-/8.4万円/-/-,1K,21.56m
1936,東京メトロ丸ノ内線 茗荷谷駅 7階建 築12年,賃貸マンション,東京都文京区白山３,東京メトロ丸ノ内線/茗荷谷駅 歩9分,都営三田線/白山駅 歩13分,都営三田線/千石駅 歩19分,築12年,7階建,4階,7.7万円,9000円,7.7万円/7.7万円/-/-,1K,21.7m
1937,東京メトロ丸ノ内線 茗荷谷駅 7階建 築12年,賃貸マンション,東京都文京区白山３,東京メトロ丸ノ内線/茗荷谷駅 歩9分,都営三田線/白山駅 歩13分,都営三田線/千石駅 歩19分,築12年,7階建,4階,8.4万円,10500円,-/8.4万円/-/-,1K,21.56m
1938,東京メトロ丸ノ内線 茗荷谷駅 11階建 築13年,賃貸マンション,東京都文京区大塚３,東京メトロ丸ノ内線/茗荷谷駅 歩6分,東京メトロ有楽町線/護国寺駅 歩9分,東京メトロ丸ノ内線/新大塚駅 歩9分,築13年,11階建,2階,8.6万円,-,8.6万円/8.6万円/-/8.6万円,1K,21.62m
1939,ガーラ文京本駒込,賃貸マンション,東京都文京区本駒込５,ＪＲ山手線/駒込駅 歩9分,東京メトロ南北線/本駒込駅 歩16分,都営三田線/千石駅 歩16分,築9年,13階建,2階,7.7万円,9000円,7.7万円/7.7万円/-/-,1K,21.56m
1940,ガーラ文京本駒込,賃貸マンション,東京都文京区本駒込５,ＪＲ山手線/駒込駅 歩9分,東京メトロ南北線/本駒込駅 歩16分,都営三田線/千石駅 歩16分,築9年,13階建,2階,7.7万円,9000円,7.7万円/11.55万円/-/-,1K,21.56m
1941,ガーラ文京本駒込,賃貸マンション,東京都文京区本駒込５,ＪＲ山手線/駒込駅 歩9分,東京メトロ南北線/本駒込駅 歩16分,都営三田線/千石駅 歩16分,築9年,13階建,2階,7.7万円,9000円,7.7万円/7.7万円/-/-,1K,21.56m
1942,ガーラ文京本駒込,賃貸マンション,東京都文京区本駒込５,ＪＲ山手線/駒込駅 歩9分,東京メトロ南北線/本駒込駅 歩16分,都営三田線/千石駅 歩16分,築9年,13階建,2階,7.7万円,9900円,7.7万円/15.4万円/-/-,1K,21.56m
1943,ＪＲ山手線 駒込駅 13階建 築9年,賃貸マンション,東京都文京区本駒込５,ＪＲ山手線/駒込駅 歩9分,ＪＲ山手線/田端駅 歩13分,都営三田線/千石駅 歩13分,築9年,13階建,2階,7.7万円,9000円,7.7万円/7.7万円/-/-,1K,21.56m
1944,ＪＲ山手線 駒込駅 13階建 築9年,賃貸マンション,東京都文京区本駒込５,ＪＲ山手線/駒込駅 歩9分,ＪＲ山手線/田端駅 歩13分,都営三田線/千石駅 歩13分,築9年,13階建,2階,7.7万円,9000円,7.7万円/7.7万円/-/-,1K,21.56m
1945,ＪＲ山手線 駒込駅 13階建 築9年,賃貸マンション,東京都文京区本駒込５,ＪＲ山手線/駒込駅 歩9分,東京メトロ南北線/本駒込駅 歩14分,都営三田線/千石駅 歩13分,築9年,13階建,2階,7.7万円,9000円,7.7万円/7.7万円/-/-,1K,21.56m
1946,シエル白山A館,賃貸マンション,東京都文京区向丘１,都営三田線/白山駅 歩4分,東京メトロ南北線/本駒込駅 歩6分,東京メトロ南北線/東大前駅 歩8分,築12年,10階建,2階,7.8万円,8000円,3.9万円/7.8万円/-/-,1K,20.99m
1947,シエル白山A館,賃貸マンション,東京都文京区向丘１,都営三田線/白山駅 歩4分,東京メトロ南北線/本駒込駅 歩6分,東京メトロ南北線/東大前駅 歩8分,築12年,10階建,7階,8.3万円,5000円,4.15万円/8.3万円/-/-,1K,21.48m
1948,シエル白山A館,賃貸マンション,東京都文京区向丘１,都営三田線/白山駅 歩4分,東京メトロ南北線/本駒込駅 歩6分,東京メトロ南北線/東大前駅 歩8分,築12年,10階建,2階,8万円,8000円,4万円/8万円/-/-,1K,20.99m
1949,シエル白山A館,賃貸マンション,東京都文京区向丘１,都営三田線/白山駅 歩4分,東京メトロ南北線/本駒込駅 歩6分,東京メトロ南北線/東大前駅 歩8分,築12年,10階建,7階,8.3万円,8000円,4.15万円/8.3万円/-/-,1K,21.48m
