,建物名,レンタルタイプ,住所,立地1,立地2,立地3,築年数,建物高さ,階,賃料,管理費,"敷/礼/保証/敷引,償却",間取り,専有面積
5636,フォーブル白鷺,賃貸マンション,東京都中野区白鷺３,西武新宿線/下井草駅 歩9分,西武新宿線/鷺ノ宮駅 歩12分,ＪＲ中央線/阿佐ヶ谷駅 歩28分,築0年,3階建,2階,10.4万円,3000円,10.4万円/10.4万円/-/-,1DK,40.32m
5637,フォーブル白鷺,賃貸マンション,東京都中野区白鷺３,西武新宿線/下井草駅 歩9分,西武新宿線/鷺ノ宮駅 歩12分,ＪＲ中央線/阿佐ヶ谷駅 歩28分,築0年,3階建,3階,10.5万円,3000円,10.5万円/10.5万円/-/-,1DK,40.32m
5638,フォーブル白鷺,賃貸マンション,東京都中野区白鷺３,西武新宿線/下井草駅 歩9分,西武新宿線/鷺ノ宮駅 歩12分,ＪＲ中央線/阿佐ヶ谷駅 歩28分,築0年,3階建,2階,10.6万円,3000円,10.6万円/10.6万円/-/-,1LDK,39.2m
5639,フォーブル白鷺,賃貸マンション,東京都中野区白鷺３,西武新宿線/下井草駅 歩9分,西武新宿線/鷺ノ宮駅 歩12分,ＪＲ中央線/阿佐ヶ谷駅 歩28分,築0年,3階建,3階,10.7万円,3000円,10.7万円/10.7万円/-/-,1LDK,39.2m
5640,西武新宿線 下井草駅 3階建 新築,賃貸マンション,東京都中野区白鷺３,西武新宿線/下井草駅 歩9分,西武新宿線/鷺ノ宮駅 歩12分,ＪＲ中央線/阿佐ヶ谷駅 歩27分,新築,3階建,2階,8.4万円,3000円,8.4万円/8.4万円/-/-,1K,29.52m
5641,西武新宿線 下井草駅 3階建 新築,賃貸マンション,東京都中野区白鷺３,西武新宿線/下井草駅 歩9分,西武新宿線/鷺ノ宮駅 歩12分,ＪＲ中央線/阿佐ヶ谷駅 歩27分,新築,3階建,3階,8.5万円,3000円,8.5万円/8.5万円/-/-,1K,29.52m
5642,西武新宿線 下井草駅 3階建 新築,賃貸マンション,東京都中野区白鷺３,西武新宿線/下井草駅 歩9分,西武新宿線/鷺ノ宮駅 歩12分,ＪＲ中央線/阿佐ヶ谷駅 歩27分,新築,3階建,2階,9.4万円,3000円,9.4万円/9.4万円/-/-,1K,32.24m
5643,西武新宿線 下井草駅 3階建 新築,賃貸マンション,東京都中野区白鷺３,西武新宿線/下井草駅 歩9分,西武新宿線/鷺ノ宮駅 歩12分,ＪＲ中央線/阿佐ヶ谷駅 歩27分,新築,3階建,3階,9.5万円,3000円,9.5万円/9.5万円/-/-,1K,32.24m
5644,西武新宿線 下井草駅 3階建 新築,賃貸マンション,東京都中野区白鷺３,西武新宿線/下井草駅 歩9分,西武新宿線/鷺ノ宮駅 歩12分,ＪＲ中央線/阿佐ヶ谷駅 歩27分,新築,3階建,3階,10.4万円,3000円,10.4万円/10.4万円/-/-,1DK,40.32m
5645,西武新宿線 下井草駅 3階建 新築,賃貸マンション,東京都中野区白鷺３,西武新宿線/下井草駅 歩9分,西武新宿線/鷺ノ宮駅 歩12分,ＪＲ中央線/阿佐ヶ谷駅 歩27分,新築,3階建,2階,10.4万円,3000円,10.4万円/10.4万円/-/-,1DK,40.32m
5646,西武新宿線 下井草駅 3階建 新築,賃貸マンション,東京都中野区白鷺３,西武新宿線/下井草駅 歩9分,西武新宿線/鷺ノ宮駅 歩12分,ＪＲ中央線/阿佐ヶ谷駅 歩27分,新築,3階建,2階,10.6万円,3000円,10.6万円/10.6万円/-/-,1LDK,39.2m
5647,西武新宿線 下井草駅 3階建 新築,賃貸マンション,東京都中野区白鷺３,西武新宿線/下井草駅 歩9分,西武新宿線/鷺ノ宮駅 歩12分,ＪＲ中央線/阿佐ヶ谷駅 歩27分,新築,3階建,3階,10.6万円,3000円,10.6万円/10.6万円/-/-,1LDK,39.2m
5648,ドリームハイツ江原町B棟,賃貸アパート,東京都中野区江原町３,都営大江戸線/新江古田駅 歩7分,西武池袋線/江古田駅 歩10分,西武池袋線/東長崎駅 歩11分,築28年,2階建,1階,8.5万円,2000円,8.5万円/8.5万円/-/-,2DK,40m
5649,東京メトロ丸ノ内線 中野新橋駅 3階建 築25年,賃貸マンション,東京都中野区本町５,東京メトロ丸ノ内線/中野新橋駅 歩5分,東京メトロ丸ノ内線/中野富士見町駅 歩9分,東京メトロ丸ノ内線/新中野駅 歩12分,築25年,3階建,2階,8.7万円,-,8.7万円/8.7万円/-/-,1DK,33.3m
5650,ドウエル常本,賃貸マンション,東京都中野区東中野４,ＪＲ中央線/東中野駅 歩4分,東京メトロ東西線/落合駅 歩5分,西武新宿線/中井駅 歩11分,築33年,3階建,2階,8.5万円,2000円,8.5万円/-/-/-,1K,33m
