,建物名,レンタルタイプ,住所,立地1,立地2,立地3,築年数,建物高さ,階,賃料,管理費,"敷/礼/保証/敷引,償却",間取り,専有面積
1928,都営新宿線 東大島駅 3階建 築5年,賃貸マンション,東京都江東区亀戸９,都営新宿線/東大島駅 歩17分,ＪＲ総武線/亀戸駅 歩24分,東武亀戸線/亀戸水神駅 歩16分,築5年,3階建,3階,7.5万円,3000円,7.5万円/7.5万円/-/-,1K,30.52m
1929,白河マンション,賃貸マンション,東京都江東区白河２,東京メトロ半蔵門線/清澄白河駅 歩2分,都営大江戸線/森下駅 歩10分,都営大江戸線/門前仲町駅 歩18分,築40年,3階建,3階,7.3万円,5000円,7.3万円/7.3万円/-/-,2K,30m
1930,エコーマンション森下弐番館,賃貸マンション,東京都江東区高橋,都営大江戸線/清澄白河駅 歩4分,都営大江戸線/森下駅 歩6分,都営新宿線/菊川駅 歩10分,築36年,5階建,4階,7.5万円,3000円,7.5万円/-/-/-,ワンルーム,27m
1931,エコーマンション森下弐番館,賃貸マンション,東京都江東区高橋,都営大江戸線/清澄白河駅 歩4分,都営大江戸線/森下駅 歩6分,都営新宿線/菊川駅 歩10分,築36年,5階建,4階,7.6万円,4000円,7.6万円/7.6万円/-/-,ワンルーム,28m
1932,都営新宿線 菊川駅 2階建 築25年,賃貸アパート,東京都江東区森下５,都営新宿線/菊川駅 歩5分,東京メトロ半蔵門線/住吉駅 歩8分,都営大江戸線/清澄白河駅 歩13分,築25年,2階建,2階,7.5万円,3000円,7.5万円/7.5万円/-/-,1K,28m
1933,ハイツ亀戸,賃貸マンション,東京都江東区亀戸３,ＪＲ総武線/亀戸駅 歩16分,東京メトロ半蔵門線/押上駅 歩11分,ＪＲ総武線/錦糸町駅 歩16分,築29年,5階建,2階,7.5万円,3000円,-/-/-/-,1K,26m
1934,佐野ビル,賃貸マンション,東京都江東区扇橋１,東京メトロ半蔵門線/住吉駅 歩7分,都営新宿線/菊川駅 歩15分,東京メトロ半蔵門線/清澄白河駅 歩15分,築43年,3階建,3階,7.6万円,2000円,7.6万円/7.6万円/-/-,1K,25.92m
1935,佐野ビル,賃貸マンション,東京都江東区扇橋１,東京メトロ半蔵門線/住吉駅 歩7分,都営新宿線/菊川駅 歩15分,東京メトロ半蔵門線/清澄白河駅 歩15分,築43年,3階建,3階,7.6万円,3000円,7.6万円/7.6万円/-/-,1K,25m
1936,佐野ビル,賃貸マンション,東京都江東区扇橋１,都営新宿線/住吉駅 歩6分,都営新宿線/菊川駅 歩14分,都営大江戸線/清澄白河駅 歩15分,築43年,3階建,3階,7.6万円,2000円,7.6万円/7.6万円/-/-,1K,25.92m
1937,都営新宿線 住吉駅 3階建 築43年,賃貸マンション,東京都江東区扇橋１,都営新宿線/住吉駅 歩6分,都営新宿線/菊川駅 歩14分,都営大江戸線/清澄白河駅 歩15分,築43年,3階建,3階,7.6万円,2000円,7.6万円/7.6万円/-/-,1K,25.92m
1938,メゾンアイエス,賃貸マンション,東京都江東区大島５,都営新宿線/大島駅 歩2分,ＪＲ総武線/亀戸駅 歩18分,都営新宿線/西大島駅 歩10分,築24年,4階建,3階,7.8万円,-,7.8万円/7.8万円/-/-,1DK,25.38m
1939,都営新宿線 大島駅 4階建 築24年,賃貸マンション,東京都江東区大島５,都営新宿線/大島駅 歩2分,ＪＲ総武線/亀戸駅 歩18分,都営新宿線/西大島駅 歩10分,築24年,4階建,3階,7.8万円,-,7.8万円/7.8万円/-/-,1DK,25.38m
1940,プレール・ドゥーク亀戸,賃貸マンション,東京都江東区亀戸３,東京メトロ半蔵門線/押上駅 歩13分,ＪＲ総武線/亀戸駅 歩14分,東武亀戸線/小村井駅 歩11分,築11年,8階建,6階,6.9万円,9000円,-/6.9万円/-/-,1K,25.34m
1941,プレール・ドゥーク亀戸,賃貸マンション,東京都江東区亀戸３,東京メトロ半蔵門線/押上駅 歩13分,ＪＲ総武線/亀戸駅 歩14分,東武亀戸線/小村井駅 歩11分,築11年,8階建,5階,7万円,8000円,-/7万円/-/-,1K,22.5m
1942,東京メトロ東西線 東陽町駅 8階建 築12年,賃貸マンション,東京都江東区南砂１,東京メトロ東西線/東陽町駅 歩18分,東京メトロ半蔵門線/住吉駅 歩20分,東京メトロ東西線/南砂町駅 歩26分,築12年,8階建,3階,7.3万円,5000円,7.3万円/-/-/-,1K,25m
1943,ＳＲII,賃貸マンション,東京都江東区北砂１,都営新宿線/西大島駅 歩15分,東京メトロ半蔵門線/住吉駅 歩18分,東京メトロ東西線/東陽町駅 歩21分,築10年,3階建,1階,7.6万円,2000円,7.6万円/7.6万円/-/-,1K,24.38m
1944,メゾンメグミ,賃貸マンション,東京都江東区扇橋２,都営新宿線/住吉駅 歩5分,都営新宿線/菊川駅 歩15分,東京メトロ半蔵門線/錦糸町駅 歩16分,築12年,6階建,5階,7.8万円,-,7.8万円/7.8万円/-/-,1K,25m
1945,東京メトロ半蔵門線 住吉駅 6階建 築12年,賃貸マンション,東京都江東区扇橋２,東京メトロ半蔵門線/住吉駅 歩5分,東京メトロ半蔵門線/清澄白河駅 歩15分,東京メトロ東西線/東陽町駅 歩23分,築12年,6階建,5階,7.8万円,-,7.8万円/7.8万円/-/-,1K,25m
1946,東京メトロ半蔵門線 住吉駅 4階建 築44年,賃貸マンション,東京都江東区扇橋１,東京メトロ半蔵門線/住吉駅 歩7分,都営新宿線/菊川駅 歩15分,東京メトロ半蔵門線/清澄白河駅 歩15分,築44年,4階建,3階,7.6万円,2000円,7.6万円/7.6万円/-/-,1K,25m
1947,東京メトロ半蔵門線 住吉駅 4階建 築44年,賃貸マンション,東京都江東区扇橋１,東京メトロ半蔵門線/住吉駅 歩7分,都営新宿線/菊川駅 歩15分,東京メトロ半蔵門線/清澄白河駅 歩15分,築44年,4階建,3階,7.6万円,3000円,7.6万円/7.6万円/-/-,1K,23m
1948,セントラルコート南砂R3,賃貸マンション,東京都江東区南砂１,東京メトロ東西線/東陽町駅 歩18分,東京メトロ半蔵門線/住吉駅 歩20分,都営新宿線/西大島駅 歩20分,築12年,8階建,3階,7.3万円,5000円,7.3万円/7.3万円/-/-,1K,24.92m
1949,セントラルコート南砂R3,賃貸マンション,東京都江東区南砂１,東京メトロ東西線/東陽町駅 歩18分,東京メトロ半蔵門線/住吉駅 歩20分,都営新宿線/西大島駅 歩20分,築12年,8階建,6階,7.6万円,5000円,7.6万円/-/-/-,1K,24.92m
1950,コーポ山喜Ｖ,賃貸マンション,東京都江東区南砂４,東京メトロ東西線/南砂町駅 歩8分,東京メトロ東西線/東陽町駅 歩20分,都営新宿線/西大島駅 歩29分,築22年,7階建,6階,7.8万円,-,7.8万円/7.8万円/-/-,1K,24.8m
1951,東京メトロ東西線 南砂町駅 7階建 築22年,賃貸マンション,東京都江東区南砂４,東京メトロ東西線/南砂町駅 歩8分,東京メトロ東西線/東陽町駅 歩13分,None,築22年,7階建,6階,7.8万円,-,7.8万円/7.8万円/-/-,1K,24.8m
