,建物名,レンタルタイプ,住所,立地1,立地2,立地3,築年数,建物高さ,階,賃料,管理費,"敷/礼/保証/敷引,償却",間取り,専有面積
1203,ＪＲ総武線 小岩駅 3階建 築37年,賃貸マンション,東京都江戸川区東小岩３,ＪＲ総武線/小岩駅 歩12分,京成本線/江戸川駅 歩8分,京成本線/京成小岩駅 歩23分,築37年,3階建,1階,5.4万円,-,-/-/-/-,1K,19.47m
1204,バリストハウス,賃貸アパート,東京都江戸川区東葛西２,東京メトロ東西線/葛西駅 歩11分,None,None,築29年,2階建,1階,5.1万円,2000円,5.1万円/-/-/-,ワンルーム,17.39m
1205,バリストハウス,賃貸アパート,東京都江戸川区東葛西２,東京メトロ東西線/葛西駅 歩11分,None,None,築29年,2階建,1階,5.5万円,-,5.5万円/-/-/-,ワンルーム,22m
1206,Kハイム,賃貸マンション,東京都江戸川区本一色１,ＪＲ総武線/新小岩駅 歩13分,ＪＲ総武線/小岩駅 歩42分,None,築27年,3階建,1階,5.3万円,-,5.3万円/5.3万円/-/-,1K,21.87m
1207,Kハイム,賃貸マンション,東京都江戸川区本一色１,ＪＲ総武線/新小岩駅 歩13分,ＪＲ総武線/小岩駅 歩42分,None,築27年,3階建,1階,5.5万円,-,5.5万円/-/-/-,1K,21.87m
1208,都営新宿線 篠崎駅 5階建 築26年,賃貸マンション,東京都江戸川区篠崎町７,都営新宿線/篠崎駅 歩1分,都営新宿線/瑞江駅 歩27分,ＪＲ総武線快速/市川駅 歩62分,築26年,5階建,5階,5.3万円,-,5.3万円/5.3万円/-/-,ワンルーム,21.6m
1209,フローラルヒラノ,賃貸マンション,東京都江戸川区篠崎町７,都営新宿線/篠崎駅 歩1分,None,None,築26年,5階建,5階,5.3万円,-,5.3万円/5.3万円/-/-,ワンルーム,21.06m
1210,冨士コ－ポ,賃貸アパート,東京都江戸川区北小岩７,京成本線/京成小岩駅 歩10分,京成本線/江戸川駅 歩11分,ＪＲ総武線/小岩駅 歩21分,築33年,2階建,2階,5.3万円,-,5.3万円/5.3万円/-/-,1K,21.5m
1211,メゾンブラザー,賃貸アパート,東京都江戸川区春江町３,都営新宿線/瑞江駅 歩14分,都営新宿線/一之江駅 歩37分,都営新宿線/篠崎駅 歩45分,築25年,3階建,2階,5万円,3000円,5万円/5万円/-/-,1K,21.5m
1212,ジュネスブラウン,賃貸アパート,東京都江戸川区春江町２,都営新宿線/瑞江駅 歩15分,都営新宿線/篠崎駅 歩26分,都営新宿線/一之江駅 歩26分,築24年,2階建,2階,5万円,3000円,5万円/-/-/-,1K,21.31m
1213,ＪＲ総武線 小岩駅 3階建 築24年,賃貸マンション,東京都江戸川区西小岩５,ＪＲ総武線/小岩駅 歩12分,京成本線/京成小岩駅 歩3分,None,築24年,3階建,1階,5.3万円,-,5.3万円/-/-/-,1K,21.24m
1214,ハイツ河合,賃貸アパート,東京都江戸川区上一色２,ＪＲ総武線/小岩駅 歩13分,ＪＲ総武線/新小岩駅 歩25分,京成本線/京成小岩駅 歩29分,築27年,3階建,2階,5.3万円,-,-/-/-/-,1K,21.07m
1215,ＪＲ総武線 小岩駅 3階建 築27年,賃貸アパート,東京都江戸川区上一色２,ＪＲ総武線/小岩駅 歩13分,ＪＲ総武線/新小岩駅 歩25分,京成本線/京成小岩駅 歩29分,築27年,3階建,2階,5.3万円,-,-/-/-/-,1K,21.07m
1216,シシアシティ,賃貸アパート,東京都江戸川区鹿骨１,都営新宿線/篠崎駅 歩24分,都営新宿線/瑞江駅 歩30分,None,築13年,2階建,1階,5万円,3000円,5万円/-/-/5万円,1K,21m
1217,都営新宿線 篠崎駅 2階建 築13年,賃貸アパート,東京都江戸川区鹿骨１,都営新宿線/篠崎駅 歩24分,都営新宿線/瑞江駅 歩30分,None,築13年,2階建,1階,5万円,3000円,5万円/-/-/5万円,1K,21m
1218,遠藤荘(平井),賃貸アパート,東京都江戸川区平井１,ＪＲ総武線/平井駅 歩10分,東武亀戸線/亀戸水神駅 歩25分,都営新宿線/東大島駅 歩26分,築26年,2階建,2階,5.2万円,1000円,5.3万円/-/-/-,1K,20.7m
1219,東京メトロ東西線 西葛西駅 2階建 築29年,賃貸アパート,東京都江戸川区西葛西７,東京メトロ東西線/西葛西駅 歩10分,None,None,築29年,2階建,2階,5.1万円,2000円,5.1万円/-/-/-,ワンルーム,20.69m
1220,パインヒル北小岩,賃貸アパート,東京都江戸川区北小岩１,京成本線/江戸川駅 歩9分,ＪＲ総武線/小岩駅 歩12分,京成本線/京成小岩駅 歩13分,築16年,2階建,1階,5万円,3000円,5万円/-/-/-,1K,20.62m
1221,京成本線 江戸川駅 2階建 築16年,賃貸アパート,東京都江戸川区北小岩１,京成本線/江戸川駅 歩9分,ＪＲ総武線/小岩駅 歩12分,北総線/新柴又駅 歩28分,築16年,2階建,1階,5万円,3000円,5万円/-/-/-,1K,20.62m
1222,ハイツシミズ,賃貸アパート,東京都江戸川区北葛西５,都営新宿線/船堀駅 歩12分,東京メトロ東西線/西葛西駅 歩23分,東京メトロ東西線/葛西駅 歩23分,築33年,2階建,2階,5.1万円,2000円,5.1万円/-/-/-,1K,20.46m
1223,ＪＲ総武線 小岩駅 2階建 築35年,賃貸アパート,東京都江戸川区南小岩８,ＪＲ総武線/小岩駅 歩7分,京成本線/江戸川駅 歩19分,京成本線/京成小岩駅 歩23分,築35年,2階建,2階,5.3万円,-,5.3万円/5.3万円/-/-,1K,20.28m
1224,アーカスＫ２,賃貸アパート,東京都江戸川区西篠崎１,都営新宿線/篠崎駅 歩22分,ＪＲ総武線/小岩駅 歩28分,小７３/菊地外科胃腸科 歩1分,築19年,2階建,2階,5万円,3000円,5万円/-/-/5万円,1K,20.25m
1225,都営新宿線 篠崎駅 2階建 築19年,賃貸アパート,東京都江戸川区西篠崎１,都営新宿線/篠崎駅 歩22分,ＪＲ総武線/小岩駅 歩29分,None,築19年,2階建,2階,5万円,3000円,5万円/-/-/5万円,1K,20.25m
1226,パインヒル東小松川I,賃貸アパート,東京都江戸川区東小松川４,都営新宿線/船堀駅 歩14分,都営新宿線/東大島駅 歩29分,都営新宿線/一之江駅 歩30分,築19年,2階建,1階,5万円,3000円,5万円/-/-/-,1K,20.25m
1227,都営新宿線 篠崎駅 2階建 築19年,賃貸アパート,東京都江戸川区西篠崎１,都営新宿線/篠崎駅 歩22分,ＪＲ総武線/小岩駅 歩28分,京成本線/江戸川駅 歩33分,築19年,2階建,2階,5万円,3000円,5万円/-/-/-,1K,20.25m
1228,ＪＲ総武線 新小岩駅 2階建 築26年,賃貸アパート,東京都江戸川区松島２,ＪＲ総武線/新小岩駅 歩19分,None,None,築26年,2階建,1階,5.3万円,-,5.3万円/5.3万円/-/-,1DK,20.24m
1229,ＪＲ総武線 新小岩駅 2階建 築26年,賃貸アパート,東京都江戸川区松島２,ＪＲ総武線/新小岩駅 歩19分,None,None,築26年,2階建,1階,5.3万円,-,5.3万円/5.3万円/-/-,1DK,20.24m
1230,ＪＲ総武線 新小岩駅 2階建 築26年,賃貸アパート,東京都江戸川区松島２,ＪＲ総武線/新小岩駅 歩19分,None,None,築26年,2階建,2階,5.5万円,-,5.5万円/5.5万円/-/-,1DK,20.24m
1231,ＪＲ総武線 新小岩駅 2階建 築26年,賃貸アパート,東京都江戸川区松島２,ＪＲ総武線/新小岩駅 歩19分,None,None,築26年,2階建,2階,5.5万円,-,5.5万円/5.5万円/-/-,1DK,20.24m
1232,セレーナカーサ,賃貸アパート,東京都江戸川区松島２,ＪＲ総武線/新小岩駅 歩19分,都営新宿線/船堀駅 バス11分 (バス停)江戸川区役所前 歩5分,東京メトロ東西線/西葛西駅 バス24分 (バス停)江戸川区役所前 歩5分,築26年,2階建,1階,5.3万円,-,5.3万円/5.3万円/-/-,1K,20.24m
1233,セレーナカーサ,賃貸アパート,東京都江戸川区松島２,ＪＲ総武線/新小岩駅 歩19分,都営新宿線/船堀駅 バス11分 (バス停)江戸川区役所前 歩5分,東京メトロ東西線/西葛西駅 バス24分 (バス停)江戸川区役所前 歩5分,築26年,2階建,2階,5.5万円,-,5.5万円/5.5万円/-/-,1K,20.24m
1234,ミヤコーポ,賃貸アパート,東京都江戸川区中葛西３,東京メトロ東西線/葛西駅 歩4分,東京メトロ東西線/西葛西駅 歩15分,都営新宿線/船堀駅 歩34分,築33年,2階建,2階,5.3万円,-,5.3万円/5.3万円/-/-,1K,20.22m
1235,アイランドI,賃貸アパート,東京都江戸川区東葛西２,東京メトロ東西線/葛西駅 歩9分,東京メトロ東西線/西葛西駅 歩26分,東京メトロ東西線/浦安駅 歩26分,築26年,2階建,2階,5.3万円,-,5.3万円/-/-/-,1K,20.05m
1236,コナウインズ,賃貸テラス・タウンハウス,東京都江戸川区東葛西４,東京メトロ東西線/葛西駅 歩11分,東京メトロ東西線/浦安駅 歩18分,東京メトロ東西線/南行徳駅 歩35分,築31年,2階建,2階,5万円,3000円,5万円/5万円/-/-,1K,20m
