,建物名,レンタルタイプ,住所,立地1,立地2,立地3,築年数,建物高さ,階,賃料,管理費,"敷/礼/保証/敷引,償却",間取り,専有面積
6348,東急池上線 戸越銀座駅 3階建 築24年,賃貸マンション,東京都品川区中延１,東急池上線/戸越銀座駅 歩7分,東急池上線/荏原中延駅 歩5分,都営浅草線/戸越駅 歩8分,築24年,3階建,3階,10.5万円,5000円,10.5万円/-/-/-,2K,40.18m
6349,角田ビル,賃貸マンション,東京都品川区平塚３,東急目黒線/武蔵小山駅 歩10分,東急池上線/戸越銀座駅 歩5分,None,築43年,5階建,3階,11万円,-,11万円/11万円/-/-,2DK,40m
6350,東急池上線 戸越銀座駅 6階建 築43年,賃貸マンション,東京都品川区平塚３,東急池上線/戸越銀座駅 歩6分,東急目黒線/武蔵小山駅 歩10分,東急池上線/荏原中延駅 歩11分,築43年,6階建,3階,11万円,-,11万円/11万円/-/-,2DK,40m
6351,東急池上線 荏原中延駅 2階建 築28年,賃貸アパート,東京都品川区西中延２,東急池上線/荏原中延駅 歩8分,東急大井町線/荏原町駅 歩13分,東急大井町線/旗の台駅 歩10分,築28年,2階建,2階,11万円,-,11万円/11万円/-/-,2DK,40m
6352,ハイツ武蔵小山,賃貸マンション,東京都品川区小山３,東急目黒線/武蔵小山駅 歩1分,東急目黒線/西小山駅 歩10分,None,築40年,10階建,4階,10.5万円,5000円,10.5万円/10.5万円/-/-,2DK,32.24m
6353,ハイツ武蔵小山,賃貸マンション,東京都品川区小山３,東急目黒線/武蔵小山駅 歩1分,東急目黒線/西小山駅 歩10分,None,築40年,10階建,5階,13万円,5000円,26万円/26万円/-/-,1LDK,38.96m
6354,ＪＲ京浜東北線 大森駅 2階建 築22年,賃貸アパート,東京都品川区大井７,ＪＲ京浜東北線/大森駅 歩7分,ＪＲ横須賀線/西大井駅 歩15分,ＪＲ京浜東北線/大井町駅 歩20分,築22年,2階建,2階,10.5万円,5000円,10.5万円/10.5万円/-/-,2DK,38.47m
6355,東大井６丁目貸家,賃貸テラス・タウンハウス,東京都品川区東大井６,ＪＲ京浜東北線/大井町駅 歩7分,京急本線/立会川駅 歩9分,京急本線/鮫洲駅 歩11分,築50年,2階建,-,11万円,-,11万円/11万円/-/-,1DK,38.15m
6356,松沢マンション,賃貸マンション,東京都品川区豊町２,ＪＲ山手線/大崎駅 歩13分,東急大井町線/下神明駅 歩6分,東急大井町線/戸越公園駅 歩12分,築42年,3階建,2階,11万円,-,11万円/11万円/-/-,2K,37m
6357,東急大井町線 下神明駅 3階建 築41年,賃貸マンション,東京都品川区豊町２,東急大井町線/下神明駅 歩5分,東急大井町線/戸越公園駅 歩10分,ＪＲ山手線/大崎駅 歩14分,築41年,3階建,2階,11万円,-,11万円/11万円/-/-,2DK,37m
6358,東急目黒線 不動前駅 7階建 築39年,賃貸マンション,東京都品川区西五反田４,東急目黒線/不動前駅 歩5分,ＪＲ山手線/目黒駅 歩15分,東急目黒線/武蔵小山駅 歩15分,築39年,7階建,2階,10.5万円,5000円,10.5万円/10.5万円/-/-,1LDK,36.99m
6359,ＪＲ京浜東北線 大井町駅 4階建 築22年,賃貸マンション,東京都品川区大井２,ＪＲ京浜東北線/大井町駅 歩6分,東急大井町線/下神明駅 歩8分,ＪＲ横須賀線/西大井駅 歩11分,築22年,4階建,4階,10.7万円,3000円,10.7万円/10.7万円/-/-,1LDK,36.64m
6360,京急本線 立会川駅 3階建 築3年,賃貸マンション,東京都品川区南大井１,京急本線/立会川駅 歩5分,東急大井町線/大井町駅 歩20分,東京モノレール/大井競馬場前駅 歩12分,築3年,3階建,1階,10.7万円,3000円,10.7万円/10.7万円/-/-,1LDK,35.91m
6361,都営浅草線 戸越駅 5階建 築30年,賃貸マンション,東京都品川区西中延１,都営浅草線/戸越駅 歩14分,東急池上線/荏原中延駅 歩8分,東急池上線/戸越銀座駅 歩9分,築30年,5階建,5階,11万円,-,11万円/-/-/-,2DK,35.52m
6362,日神パレス中延,賃貸マンション,東京都品川区西中延１,東急池上線/荏原中延駅 歩8分,東急池上線/戸越銀座駅 歩9分,東急目黒線/武蔵小山駅 歩12分,築30年,5階建,5階,11万円,-,11万円/-/-/-,2DK,35.52m
6363,ベルハイムII,賃貸マンション,東京都品川区戸越１,都営浅草線/戸越駅 歩5分,東急池上線/戸越銀座駅 歩8分,ＪＲ山手線/大崎駅 歩10分,築31年,4階建,3階,11万円,-,11万円/11万円/-/-,1LDK,35.47m
6364,都営浅草線 戸越駅 4階建 築31年,賃貸マンション,東京都品川区戸越１,都営浅草線/戸越駅 歩5分,東急池上線/戸越銀座駅 歩9分,ＪＲ山手線/大崎駅 歩14分,築31年,4階建,3階,11万円,-,11万円/11万円/-/-,1LDK,35.47m
6365,ベルメゾン宏和,賃貸マンション,東京都品川区平塚２,都営浅草線/戸越駅 歩6分,東急池上線/戸越銀座駅 歩4分,東急目黒線/不動前駅 歩16分,築31年,3階建,3階,10.7万円,3000円,10.7万円/10.7万円/-/-,1DK,35.1m
6366,アパートメントハウス,賃貸マンション,東京都品川区小山台１,東急目黒線/武蔵小山駅 歩6分,東急目黒線/不動前駅 歩11分,東急目黒線/西小山駅 歩16分,築28年,3階建,3階,11万円,-,11万円/11万円/-/-,2DK,35m
6367,東急池上線 戸越銀座駅 2階建 築17年,賃貸マンション,東京都品川区戸越１,東急池上線/戸越銀座駅 歩10分,都営浅草線/戸越駅 歩10分,ＪＲ山手線/大崎駅 歩13分,築17年,2階建,2階,11万円,-,11万円/11万円/-/-,2DK,35m
6368,東急池上線 戸越銀座駅 2階建 築17年,賃貸マンション,東京都品川区戸越１,東急池上線/戸越銀座駅 歩10分,都営浅草線/戸越駅 歩10分,ＪＲ山手線/大崎駅 歩13分,築17年,2階建,2階,11万円,5000円,11万円/11万円/-/-,2DK,34.02m
6369,パークサイド元芝,賃貸アパート,東京都品川区東大井３,ＪＲ京浜東北線/大井町駅 歩6分,京急本線/青物横丁駅 歩13分,京急本線/鮫洲駅 歩6分,築32年,2階建,2階,11万円,-,11万円/11万円/-/-,2DK,34.78m
6370,ＪＲ京浜東北線 大井町駅 5階建 築24年,賃貸マンション,東京都品川区東大井２,ＪＲ京浜東北線/大井町駅 歩11分,京急本線/鮫洲駅 歩4分,りんかい線/品川シーサイド駅 歩17分,築24年,5階建,5階,11万円,-,11万円/11万円/-/-,2DK,34.63m
6371,中延ハイツ,賃貸マンション,東京都品川区中延１,東急池上線/戸越銀座駅 歩7分,都営浅草線/戸越駅 歩9分,東急池上線/荏原中延駅 歩6分,築23年,3階建,3階,11万円,-,11万円/11万円/-/-,2DK,34.38m
6372,東急目黒線 武蔵小山駅 3階建 築28年,賃貸マンション,東京都品川区小山台１,東急目黒線/武蔵小山駅 歩6分,None,None,築28年,3階建,3階,11万円,-,11万円/11万円/-/-,2DK,34.03m
6373,ハイツ戸越,賃貸アパート,東京都品川区戸越１,東急池上線/戸越銀座駅 歩8分,ＪＲ山手線/大崎駅 歩10分,湘南新宿ライン宇須/大崎駅 歩11分,築17年,2階建,2階,11万円,-,11万円/11万円/-/-,1K,34.02m
6374,ハイツ戸越,賃貸アパート,東京都品川区戸越１,東急池上線/戸越銀座駅 歩8分,ＪＲ山手線/大崎駅 歩10分,湘南新宿ライン宇須/大崎駅 歩11分,築17年,2階建,2階,11万円,5000円,11万円/11万円/-/-,2DK,34.02m
6375,渡辺マンション,賃貸マンション,東京都品川区荏原７,東急目黒線/西小山駅 歩6分,東急大井町線/旗の台駅 歩12分,東急大井町線/大岡山駅 歩21分,築41年,4階建,3階,10.5万円,5000円,10.5万円/10.5万円/-/-,2DK,34m
6376,東急目黒線 西小山駅 4階建 築41年,賃貸マンション,東京都品川区荏原７,東急目黒線/西小山駅 歩5分,東急池上線/旗の台駅 歩13分,東急大井町線/旗の台駅 歩13分,築41年,4階建,3階,10.5万円,5000円,10.5万円/10.5万円/-/-,2DK,34m
6377,ＪＲ山手線 目黒駅 11階建 築46年,賃貸マンション,東京都品川区上大崎３,ＪＲ山手線/目黒駅 歩3分,東京メトロ南北線/白金台駅 歩9分,ＪＲ山手線/五反田駅 歩14分,築46年,11階建,9階,10万円,10000円,20万円/-/-/-,1K,33.25m
6378,ＪＲ山手線 目黒駅 11階建 築46年,賃貸マンション,東京都品川区上大崎３,ＪＲ山手線/目黒駅 歩3分,東京メトロ南北線/白金台駅 歩9分,ＪＲ山手線/五反田駅 歩14分,築46年,11階建,4階,11万円,-,11万円/11万円/-/-,1K,33m
6379,Harumi Mansion,賃貸マンション,東京都品川区南品川６,ＪＲ京浜東北線/大井町駅 歩6分,京急本線/青物横丁駅 歩4分,None,築53年,2階建,2階,10.5万円,5000円,10.5万円/-/-/-,1K,32.4m
6380,ＪＲ京浜東北線 大井町駅 2階建 築53年,賃貸マンション,東京都品川区南品川６,ＪＲ京浜東北線/大井町駅 歩6分,京急本線/青物横丁駅 歩4分,京急本線/新馬場駅 歩13分,築53年,2階建,2階,10.5万円,5000円,10.5万円/-/-/-,1K,32.4m
6381,東急目黒線 武蔵小山駅 10階建 築40年,賃貸マンション,東京都品川区小山３,東急目黒線/武蔵小山駅 歩1分,東急目黒線/不動前駅 歩15分,東急池上線/戸越銀座駅 歩15分,築40年,10階建,4階,10.5万円,5000円,10.5万円/10.5万円/-/-,2DK,32.24m
6382,メゾンヴェルテ,賃貸マンション,東京都品川区大井１,ＪＲ京浜東北線/大井町駅 歩5分,東急大井町線/下神明駅 歩7分,京急本線/鮫洲駅 歩14分,築12年,7階建,7階,10.5万円,5000円,10.5万円/10.5万円/-/-,1DK,30.57m
