,建物名,レンタルタイプ,住所,立地1,立地2,立地3,築年数,建物高さ,階,賃料,管理費,"敷/礼/保証/敷引,償却",間取り,専有面積
23,新明荘,賃貸アパート,東京都足立区小台２,都電荒川線/小台駅 歩10分,日暮里・舎人ライナー/足立小台駅 歩12分,都電荒川線/荒川遊園地前駅 歩13分,築41年,2階建,2階,3万円,-,3万円/3万円/-/-,1K,19m
24,新明荘,賃貸アパート,東京都足立区小台２,都電荒川線/小台駅 歩10分,日暮里・舎人ライナー/足立小台駅 歩12分,都電荒川線/荒川遊園地前駅 歩13分,築41年,2階建,2階,3万円,-,3万円/3万円/-/-,1K,19m
25,東京メトロ千代田線 北千住駅 2階建 築43年,賃貸アパート,東京都足立区千住寿町,東京メトロ千代田線/北千住駅 歩11分,None,None,築43年,2階建,2階,3万円,-,3万円/3万円/-/-,ワンルーム,18.64m
26,ＪＲ京浜東北線 王子駅 4階建 築26年,賃貸マンション,東京都足立区宮城２,ＪＲ京浜東北線/王子駅 歩30分,日暮里・舎人ライナー/扇大橋駅 歩18分,都電荒川線/小台駅 歩21分,築26年,4階建,2階,3万円,-,-/-/-/-,ワンルーム,5.38m
27,ＪＲ京浜東北線 王子駅 4階建 築26年,賃貸マンション,東京都足立区宮城２,ＪＲ京浜東北線/王子駅 歩30分,日暮里・舎人ライナー/扇大橋駅 歩18分,都電荒川線/小台駅 歩21分,築26年,4階建,2階,3.4万円,-,-/-/-/-,ワンルーム,7.13m
28,ＪＲ京浜東北線 王子駅 4階建 築26年,賃貸マンション,東京都足立区宮城２,ＪＲ京浜東北線/王子駅 歩30分,日暮里・舎人ライナー/扇大橋駅 歩18分,都電荒川線/小台駅 歩21分,築26年,4階建,4階,3.5万円,-,-/-/-/-,ワンルーム,9.28m
29,見晴荘,賃貸アパート,東京都足立区西新井６,東武大師線/大師前駅 歩5分,日暮里・舎人ライナー/西新井大師西駅 歩11分,日暮里・舎人ライナー/江北駅 歩14分,築48年,2階建,1階,3万円,1000円,3万円/3万円/-/-,2K,22.3m
30,東武大師線 大師前駅 2階建 築48年,賃貸アパート,東京都足立区西新井６,東武大師線/大師前駅 歩5分,日暮里・舎人ライナー/西新井大師西駅 歩11分,日暮里・舎人ライナー/江北駅 歩14分,築48年,2階建,1階,3万円,1000円,3万円/3万円/-/-,2K,22.3m
31,佐野荘,賃貸アパート,東京都足立区西保木間２,東武伊勢崎線/竹ノ塚駅 歩15分,None,None,築48年,2階建,1階,3万円,1000円,3万円/3万円/-/-,ワンルーム,13.2m
32,東武伊勢崎線 竹ノ塚駅 2階建 築48年,賃貸アパート,東京都足立区西保木間２,東武伊勢崎線/竹ノ塚駅 歩17分,None,None,築48年,2階建,1階,3万円,1000円,3万円/3万円/-/-,ワンルーム,13.2m
33,ワーハウス,賃貸アパート,東京都足立区千住河原町,京成本線/千住大橋駅 歩2分,東京メトロ千代田線/北千住駅 歩11分,東武伊勢崎線/牛田駅 歩17分,築58年,2階建,2階,2.8万円,3000円,2.8万円/2.8万円/-/-,ワンルーム,9.8m
34,ワーハウス,賃貸アパート,東京都足立区千住河原町,京成本線/千住大橋駅 歩2分,東京メトロ千代田線/北千住駅 歩11分,東武伊勢崎線/牛田駅 歩17分,築58年,2階建,2階,3万円,3000円,3万円/3万円/-/-,ワンルーム,10.73m
