,建物名,レンタルタイプ,住所,立地1,立地2,立地3,築年数,建物高さ,階,賃料,管理費,"敷/礼/保証/敷引,償却",間取り,専有面積
25,東急目黒線 西小山駅 2階建 築48年,賃貸アパート,東京都目黒区原町１,東急目黒線/西小山駅 歩3分,東急目黒線/武蔵小山駅 歩11分,東急目黒線/洗足駅 歩12分,築48年,2階建,1階,3.9万円,2000円,-/-/-/-,ワンルーム,10.35m
26,パールハイム原町,賃貸アパート,東京都目黒区原町１,東急目黒線/西小山駅 歩3分,東急目黒線/武蔵小山駅 歩11分,東急目黒線/洗足駅 歩12分,築48年,2階建,1階,3.9万円,2000円,-/-/-/-,ワンルーム,10.35m
27,エフアパート,賃貸アパート,東京都目黒区目黒本町４,東急目黒線/西小山駅 歩14分,東急目黒線/武蔵小山駅 歩15分,東急東横線/学芸大学駅 歩19分,築74年,2階建,2階,4万円,1500円,4万円/4万円/-/-,2K,20m
28,エフアパート,賃貸アパート,東京都目黒区目黒本町４,東急目黒線/西小山駅 歩14分,東急目黒線/武蔵小山駅 歩15分,東急東横線/学芸大学駅 歩19分,築74年,2階建,2階,4万円,1500円,4万円/4万円/-/-,1DK,13m
29,エフアパート,賃貸アパート,東京都目黒区目黒本町４,東急目黒線/西小山駅 歩14分,東急目黒線/武蔵小山駅 歩15分,東急東横線/学芸大学駅 歩19分,築74年,2階建,2階,4.3万円,1500円,4.3万円/4.3万円/-/-,2K,20m
30,東急田園都市線 池尻大橋駅 2階建 築56年,賃貸アパート,東京都目黒区青葉台３,東急田園都市線/池尻大橋駅 歩9分,東急東横線/中目黒駅 歩13分,None,築56年,2階建,2階,4.1万円,2000円,4.1万円/4.1万円/-/-,ワンルーム,16m
31,藤枝アパート,賃貸アパート,東京都目黒区目黒本町４,東急東横線/学芸大学駅 歩19分,東急目黒線/武蔵小山駅 歩15分,東急目黒線/西小山駅 歩14分,築40年,2階建,2階,4万円,3500円,4万円/-/-/-,1DK,20.2m
32,藤枝アパート,賃貸アパート,東京都目黒区目黒本町４,東急東横線/学芸大学駅 歩19分,東急目黒線/武蔵小山駅 歩15分,東急目黒線/西小山駅 歩14分,築40年,2階建,2階,4万円,3500円,4万円/-/-/-,1DK,18.54m
33,小山荘,賃貸アパート,東京都目黒区目黒本町６,東急目黒線/西小山駅 歩9分,東急目黒線/洗足駅 歩15分,東急目黒線/武蔵小山駅 歩14分,築45年,2階建,2階,4.4万円,-,-/-/-/-,ワンルーム,16.52m
34,ＪＲ山手線 恵比寿駅 2階建 築49年,賃貸アパート,東京都目黒区三田１,ＪＲ山手線/恵比寿駅 歩8分,ＪＲ山手線/目黒駅 歩12分,東急東横線/代官山駅 歩16分,築49年,2階建,2階,4.5万円,-,4.5万円/4.5万円/-/-,1K,22m
