,建物名,レンタルタイプ,住所,立地1,立地2,立地3,築年数,建物高さ,階,賃料,管理費,"敷/礼/保証/敷引,償却",間取り,専有面積
43,ダイヤモンドビル東日本橋第３,賃貸マンション,東京都中央区東日本橋３,都営新宿線/馬喰横山駅 歩1分,都営浅草線/東日本橋駅 歩1分,ＪＲ総武線快速/馬喰町駅 歩1分,築61年,4階建,4階,6.5万円,5000円,-/-/-/-,ワンルーム,12.08m
44,ダイヤモンドビル東日本橋第３,賃貸マンション,東京都中央区東日本橋３,都営新宿線/馬喰横山駅 歩1分,都営浅草線/東日本橋駅 歩1分,ＪＲ総武線快速/馬喰町駅 歩1分,築61年,4階建,2階,6.7万円,5000円,-/-/-/-,ワンルーム,12.26m
45,ダイヤモンドビル東日本橋第３,賃貸マンション,東京都中央区東日本橋３,都営新宿線/馬喰横山駅 歩1分,都営浅草線/東日本橋駅 歩1分,ＪＲ総武線快速/馬喰町駅 歩1分,築61年,4階建,3階,6.7万円,5000円,-/-/-/-,ワンルーム,11.79m
46,ダイヤモンドビル東日本橋第３,賃貸マンション,東京都中央区東日本橋３,都営新宿線/馬喰横山駅 歩1分,都営浅草線/東日本橋駅 歩1分,ＪＲ総武線快速/馬喰町駅 歩1分,築61年,4階建,2階,7.1万円,5000円,-/-/-/-,ワンルーム,13.47m
47,東京メトロ半蔵門線 水天宮前駅 11階建 築34年,賃貸マンション,東京都中央区日本橋浜町２,東京メトロ半蔵門線/水天宮前駅 歩8分,都営新宿線/浜町駅 歩3分,東京メトロ日比谷線/人形町駅 歩10分,築34年,11階建,10階,6.8万円,-,6.8万円/6.8万円/-/-,ワンルーム,17.22m
48,東京メトロ半蔵門線 水天宮前駅 11階建 築34年,賃貸マンション,東京都中央区日本橋浜町２,東京メトロ半蔵門線/水天宮前駅 歩8分,都営新宿線/浜町駅 歩3分,東京メトロ日比谷線/人形町駅 歩10分,築34年,11階建,5階,12.5万円,-,18.75万円/12.5万円/-/-,2DK,34.18m
49,東京メトロ東西線 茅場町駅 10階建 築41年,賃貸マンション,東京都中央区新川２,東京メトロ東西線/茅場町駅 歩3分,都営浅草線/日本橋駅 歩10分,東京メトロ日比谷線/八丁堀駅 歩4分,築41年,10階建,10階,6.8万円,-,-/6.8万円/-/-,ワンルーム,20.4m
50,シャルマン築地明石町,賃貸マンション,東京都中央区明石町,東京メトロ日比谷線/築地駅 歩8分,東京メトロ有楽町線/新富町駅 歩6分,None,築40年,8階建,5階,6.8万円,-,13.6万円/6.8万円/-/-,ワンルーム,20.38m
51,シャルマン築地明石町,賃貸マンション,東京都中央区明石町,東京メトロ日比谷線/築地駅 歩8分,東京メトロ有楽町線/新富町駅 歩6分,None,築40年,8階建,2階,6.8万円,5000円,-/-/-/-,ワンルーム,20.38m
52,ユニハイツ勝どき,賃貸マンション,東京都中央区月島３,都営大江戸線/勝どき駅 歩5分,東京メトロ有楽町線/月島駅 歩7分,東京メトロ日比谷線/築地駅 歩17分,築44年,10階建,5階,6.5万円,3000円,6.5万円/6.5万円/-/-,ワンルーム,16.5m
53,都営大江戸線 勝どき駅 10階建 築44年,賃貸マンション,東京都中央区月島３,都営大江戸線/勝どき駅 歩5分,東京メトロ有楽町線/月島駅 歩7分,東京メトロ日比谷線/築地駅 歩18分,築44年,10階建,5階,6.5万円,3000円,6.5万円/6.5万円/-/-,ワンルーム,16.5m
54,東京メトロ日比谷線 八丁堀駅 14階建 築44年,賃貸マンション,東京都中央区新川１,東京メトロ日比谷線/八丁堀駅 歩8分,東京メトロ東西線/茅場町駅 歩10分,東京メトロ半蔵門線/水天宮前駅 歩10分,築44年,14階建,4階,7万円,-,14万円/7万円/-/-,1K,19.71m
55,東京メトロ日比谷線 八丁堀駅 14階建 築44年,賃貸マンション,東京都中央区新川１,東京メトロ日比谷線/八丁堀駅 歩8分,東京メトロ東西線/茅場町駅 歩10分,東京メトロ半蔵門線/水天宮前駅 歩10分,築44年,14階建,4階,12万円,-,-/12万円/24万円/-,2DK,40.67m
56,東京メトロ日比谷線 八丁堀駅 14階建 築44年,賃貸マンション,東京都中央区新川１,東京メトロ日比谷線/八丁堀駅 歩8分,東京メトロ東西線/茅場町駅 歩10分,東京メトロ半蔵門線/水天宮前駅 歩10分,築44年,14階建,2階,11.7万円,10000円,11.7万円/11.7万円/-/-,2K,37.58m
57,東京メトロ日比谷線 八丁堀駅 14階建 築44年,賃貸マンション,東京都中央区新川１,東京メトロ日比谷線/八丁堀駅 歩8分,東京メトロ東西線/茅場町駅 歩10分,東京メトロ半蔵門線/水天宮前駅 歩10分,築44年,14階建,2階,12.2万円,10000円,12.2万円/12.2万円/-/-,2K,37.58m
58,ジュエル浜離宮,賃貸マンション,東京都中央区築地５,都営大江戸線/築地市場駅 歩6分,都営大江戸線/汐留駅 歩7分,ＪＲ山手線/新橋駅 歩11分,築39年,10階建,10階,6.5万円,5000円,6.5万円/6.5万円/-/-,ワンルーム,15.66m
